Box,DaysSinceMeta,MetaDate,PhotoDate,PhotoTime,Runway,Cohort,Init_Mass,Density,Year,Wk1Dist,Wk1Recaps,Wk1Moves
103,24,6/19/2012,,1922,1,4,0.95,,2012,1.07,7,6
112,20,6/23/2012,,1923,1,4,0.63,,2012,33.96,5,3
101,22,6/21/2012,,1928,1,4,0.71,,2012,0.35,5,1
109,26,6/17/2012,,1946,2,4,0.98,,2012,22.33,7,3
105,24,6/19/2012,,1947,2,4,0.98,,2012,31.48,7,4
109B,28,6/15/2012,,1948,2,4,0.56,,2012,1.26,7,5
111,27,6/16/2012,,1950,2,4,1.12,,2012,30.56,7,4
109E,28,6/15/2012,,1952,2,4,0.52,,2012,1.52,6,5
109A,28,6/15/2012,,1954,2,4,0.85,,2012,0.94,5,3
105,27,6/16/2012,,1955,2,4,0.91,,2012,1.6,7,4
109C,28,6/15/2012,,1957,2,4,0.63,,2012,1.85,6,4
109D,28,6/15/2012,,2000,2,4,0.85,,2012,0.47,7,3
