ID	PhotoDate	PhotoTime	Cohort	Arm          Upper	Arm          Lower	Leg             Upper	Leg             Lower	Head               Length	Head Width	Trunk Length	Trunk Width	Tail Length	Tail Width	
DSCN3203.JPG	5/29/2013	2033	2	3.948790321	5.118079034	2.322617704	7.615516923	6.812650732	8.341483082	28.02697422	8.083713565	37.099	4.86011862	
DSCN3204.JPG	5/29/2013	2034	2	4.689908315	6.163129075	2.889622986	5.536325135	8.599703367	8.313884772	26.68804144	8.331342569	38.599	5.18345927	
DSCN3206.JPG	5/29/2013	2037	2	4.504816644	4.848321875	2.93237958	5.176698658	8.703566281	8.187791216	28.43343841	7.635848348	36.812	4.56436644	
DSCN3207.JPG	5/29/2013	2038	2	4.610800907	4.317844485	2.746154584	4.436514961	7.614118465	8.11528835	26.38443725	6.793168627	33.59978882	4.722674772	
DSCN3208.JPG	5/29/2013	2039	2	5.35674388	6.155000731	3.718814462	5.305588092	8.251453751	9.102453735	32.88035756	11.10779204	48.145	6.828980671	
DSCN3209.JPG	5/29/2013	2043	2	4.472509139	4.974869345	3.081319523	5.572443988	8.313729608	8.80518813	32.04434031	9.002102699	42.56262398	5.816269767	
DSCN3210.JPG	5/29/2013	2056	2	4.81758207	5.114688358	3.325292468	5.856888594	7.599136859	8.11001603	28.17423051	7.301330358	37.39339113	4.576505217	
DSCN3211.JPG	5/29/2013	2058	2	4.964565741	5.730651097	3.188451819	5.565198469	8.655955002	8.998988665	33.31842879	9.345466334	40.147	5.669238485	
DSCN3212.JPG	5/29/2013	2101	2	4.399423258	4.865655249	2.871919915	4.884368946	7.07590503	7.653563353	25.30944569	6.654959429	35.95240639	4.332597373	
DSCN3213.JPG	5/29/2013	2102	2	4.755033228	6.222199691	3.157909435	4.759691587	8.030951687	8.918034873	33.28552522	9.804651345	49.18179778	6.18797778	
DSCN3214.JPG	5/29/2013	2105	2	3.380201917	5.250082761	3.345613546	6.117635654	9.266956027	10.43208445	31.65963722	10.22868051	45.604	6.379345186	
DSCN3215.JPG	5/29/2013	2107	2	NA	NA	3.367592612	5.712836423	9.29768127	9.058664802	31.95541589	9.746753972	40.099	6.478722096	
DSCN3216.JPG	5/29/2013	2109	2	5.285483705	4.890750147	3.487287341	6.003379881	7.921867709	8.413195588	26.62211389	7.491861518	34.63346966	4.466354442	
DSCN3218.JPG	5/29/2013	2113	2	4.135493683	4.912197064	2.907298402	5.33132929	6.99892106	7.961430274	28.11735274	7.752562544	35.47177746	4.744088637	
DSCN3219.JPG	5/29/2013	2120	2	4.392726943	5.301000377	3.257141385	4.759383574	8.006519344	8.649348473	31.71083704	8.350650514	42.23509349	5.41531061	
DSCN3220.JPG	5/29/2013	2123	2	4.275740871	4.472975073	2.687787194	5.052769637	7.554627324	7.899355543	26.57273928	7.294865729	34.60537023	4.847816003	
DSCN3221.JPG	5/29/2013	2126	2	4.257250991	4.589103616	2.153482064	5.764013619	7.088924107	7.841414668	23.63397091	6.18095656	30.153	4.389692017	
DSCN3224.JPG	5/29/2013	2127	2	4.353505714	5.251221287	2.856841963	6.265092258	7.94784562	8.358464572	28.09099366	8.328916496	34.484	5.389663626	
DSCN3226.JPG	5/29/2013	2130	2	4.661970828	5.255085347	2.185334986	6.467865568	9.193069128	9.279947468	32.2251121	10.63293736	39.915	6.663798616	
DSCN3231.JPG	5/29/2013	2131	2	4.212260676	4.91801952	2.449083502	6.443204482	8.240013653	8.267286919	29.59738428	8.155600775	40.881	5.785704451	
DSCN3232.JPG	5/29/2013	2136	2	4.569660819	5.744499282	2.956420133	5.144519608	6.824367004	7.94099893	26.0469002	7.880900583	27.174	5.510209161	
DSCN3233.JPG	5/29/2013	2139	2	4.583432011	4.728015228	3.275597655	5.600664603	7.780734798	8.158800525	25.42072503	7.050010213	32.15908904	4.647401424	
DSCN3234.JPG	5/29/2013	2140	2	4.053600005	5.141684743	3.127722814	5.174549449	8.20203999	8.469762748	30.01806644	9.343492388	39.62901882	5.793908871	
DSCN3235.JPG	5/29/2013	2144	2	4.930010142	4.691774185	3.072798236	5.772347876	8.406833233	7.833858883	26.5904981	8.136458443	37.617	4.790446535	
DSCN3241.JPG	5/29/2013	2148	2	3.941563395	5.770125909	3.265510067	5.860806259	7.795714271	8.564243107	29.58919026	9.477	38.793	5.75615931	
DSCN3242.JPG	5/29/2013	2152	2	4.69584806	5.17117008	3.27595177	5.760556223	8.936334204	9.103008788	32.73206639	9.349071505	44.722	6.144615936	
DSCN3245.JPG	5/29/2013	2159	2	3.879651788	4.277167871	3.117242371	6.358363626	8.87846935	8.111939657	30.8271681	9.002965123	38.826	5.84257546	
DSCN3247.JPG	5/29/2013	2200	2	3.750517431	5.396547878	3.016992045	4.878710998	6.998669159	7.723373939	24.6089888	7.189	33.303	4.446216481	
DSCN3248.JPG	5/29/2013	2206	2	3.698757224	4.268140227	3.235642286	4.872074815	7.437498303	7.401348661	26.18973518	6.931273548	35.75809396	4.532949261	
DSCN3249.JPG	5/29/2013	2207	2	4.999753594	5.787881305	3.021165669	5.571232628	7.417300857	8.274974622	29.02311785	8.026786406	36.12414629	5.164216204	
DSCN3250.JPG	5/29/2013	2209	2	4.56253263	4.542257699	2.441942055	5.141094825	7.74602143	8.42530765	29.44067216	8.655954309	41.895	5.490268208	
DSCN3252.JPG	5/29/2013	2212	2	3.046193198	5.868717918	3.602896612	6.543895017	8.323129279	9.086374249	29.0837079	9.950499937	41.56467954	6.232032092	
