Date	Julian Date	Trial	Camera	Arena	Meta_Date	Meta_Julian	Box	Tank	UID
6/14/2013	165	1	5	TL	6/13/2013	164	100-A	100	100-A_2013_6_13
6/14/2013	165	1	6	TL	6/13/2013	164	2A	2A	2A_2013_6_13
6/14/2013	165	1	7	TL	6/13/2013	164	32-B	32	32-B_2013_6_13
6/14/2013	165	1	8	TL	6/13/2013	164	13-A	13	13-A_2013_6_13
6/14/2013	165	1	9	TL	6/13/2013	164	4	4	4_2013_6_13
6/16/2013	167	1	1	TL	6/15/2013	166	11A-B	11A	11A-B_2013_6_15
6/16/2013	167	1	2	TL	6/15/2013	166	11A-A	11A	11A-A_2013_6_15
6/16/2013	167	1	3	TL	6/15/2013	166	15A-B	15A	15A-B_2013_6_15
6/16/2013	167	1	4	TL	6/15/2013	166	45-F	45	45-F_2013_6_15
6/16/2013	167	1	5	TL	6/15/2013	166	101-B	101	101-B_2013_6_15
6/16/2013	167	1	6	TL	6/15/2013	166	100-B	100	100-B_2013_6_15
6/16/2013	167	1	7	TL	6/15/2013	166	41-A	41	41-A_2013_6_15
6/16/2013	167	1	8	TL	6/15/2013	166	101-A	101	101-A_2013_6_15
6/16/2013	167	1	9	TL	6/15/2013	166	15A-A	15A	15A-A_2013_6_15
6/18/2013	169	1	1	TL	6/17/2013	168	112-D	112	112-D_2013_6_17
6/18/2013	169	1	2	TL	6/17/2013	168	112-A	112	112-A_2013_6_17
6/18/2013	169	1	3	TL	6/17/2013	168	111-A	111	111-A_2013_6_17
6/18/2013	169	1	4	TL	6/15/2013	166	32-A	32	32-A_2013_6_15
6/18/2013	169	1	5	TL	6/15/2013	166	20A-B	20A	20A-B_2013_6_15
6/18/2013	169	1	6	TL	6/17/2013	168	13A	13A	13A_2013_6_17
6/18/2013	169	1	7	TL	6/17/2013	168	45-B	45	45-B_2013_6_17
6/18/2013	169	1	8	TL	6/17/2013	168	12	12	12_2013_6_17
6/18/2013	169	1	9	TL	6/17/2013	168	2A	2A	2A_2013_6_17
6/22/2013	173	1	1	TL	6/21/2013	172	112-B	112	112-B_2013_6_21
6/22/2013	173	1	2	TL	6/21/2013	172	35-B	35	35-B_2013_6_21
