ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
2A,6/13/2013,6/30/2013,00:21,3.243888099,4.459330107,3.573378373,4.169297303,2.723648289,4.207832815,2.650772718,4.78236866,11.03604227,7.086528417,20.60586201,6.916116974,26.39843846,3.915937946,1
2A,6/17/2013,6/30/2013,08:39,2.992789501,4.362956452,3.2727464,4.919181334,2.477193573,5.016200255,2.663131427,4.880986888,11.19407879,6.756238376,21.3146155,8.148186179,27.82882651,3.626507135,1
2A,6/21/2013,6/30/2013,08:26,3.40617454,4.083147438,3.472419905,5.085987908,2.402988348,5.145989215,3.282822261,4.637996227,11.19653058,6.882,22.73975497,6.882052964,29.77462467,4.151087809,1
2-C,5/30/2013,6/29/2013,20:24,4.280123012,5.641166989,4.071990422,4.959289969,2.447820663,6.229260791,2.236862088,7.037964834,14.60505834,8.192938423,29.724,9.770960495,43.76658908,5.55,1
4,6/13/2013,6/30/2013,09:30,3.336782432,3.91410705,3.613159974,4.221598986,2.514753268,4.142686689,1.787189134,4.860918946,10.82857202,7.016223058,19.42756212,6.002291646,25.78063044,4.289497057,1
4,6/17/2013,6/30/2013,09:27,2.996,4.438610819,3.099126651,4.182367392,2.265079469,4.995843572,2.480222772,4.314408418,10.95176904,7.043597376,22.38275845,6.942180061,31.13049264,4.395284405,1
4,6/19/2013,6/30/2013,08:27,2.899939655,4.638744011,3.975970322,4.165585913,2.196372464,5.541521181,1.832417529,5.901933666,11.07001834,7.352613957,21.48790685,7.495653407,29.73998736,4.568812975,1
4-A,6/11/2013,6/29/2013,23:39,2.743720102,3.668242086,3.878217374,4.246787021,2.256955693,4.855142119,2.096416228,5.222106855,9.687682901,6.644335934,18.69609374,5.940303023,20.15393758,3.360238087,1
4-A,6/21/2013,6/30/2013,08:31,3.48257735,4.206638206,3.501708297,4.23227622,2.553483307,4.429889051,2.043053107,5.058408544,10.38824499,6.797,20.70804889,6.482638737,28.81790633,4.051,1
4-B,6/11/2013,6/29/2013,22:37,3.795161788,4.152,3.312377394,4.151467813,2.917843382,4.117028054,2.008003984,4.53892289,9.276530601,6.65246909,19.35579647,6.124205908,22.73575064,2.91,1
4-B,6/21/2013,6/30/2013,08:29,3.022,3.922126592,2.548456199,4.428858657,2.051273994,4.838962802,2.166924087,4.5534958,11.13885425,7.143095827,20.6053702,6.961432108,27.68776423,4.22849867,1
4-C,6/11/2013,6/29/2013,23:37,2.869289285,4.094070346,3.145264695,4.030754892,2.197360234,4.374720563,2.128378961,4.569591776,10.54293811,6.916069476,19.6877246,6.223185679,25.93082756,3.791098258,1
4-D,6/11/2013,6/29/2013,23:42,3.024197249,3.939801645,2.948193515,4.456351871,2.399120047,4.608125866,2.012109589,4.494185132,9.788193143,6.990178825,18.77729919,6.343955864,22.49058345,3.634361705,1
5A,6/5/2013,6/29/2013,20:55,4.163846779,5.648000089,3.527015877,5.295788704,2.777685547,6.24198446,2.596496486,5.190898284,12.22347127,7.232054203,25.0997997,7.815125399,29.69508245,4.707978866,1
5A,6/21/2013,6/30/2013,08:22,3.176260222,4.08150585,2.977927131,4.153091499,1.972599554,6.138919938,1.882678942,5.254040731,10.85924675,6.925515504,20.03261453,6.551689935,29.16373697,4.232966926,1
6,6/11/2013,6/29/2013,22:21,3.512819096,4.167619584,3.927002546,4.413799384,2.808102562,4.905199792,2.442642012,5.35855279,11.1611602,7.142029473,21.57965157,7.24698558,28.81047504,4.371192286,1
6,6/19/2013,6/30/2013,00:24,3.451059113,4.563045584,3.179098143,4.339487182,2.156708835,4.61814335,2.370765488,5.391437842,11.07997712,6.900226373,21.76935286,6.735921986,28.06339356,3.78420824,1
