ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
11,6/14/2013,6/30/2013,00:57,3.459332306,4.448928073,3.249203749,4.228506356,2.488157953,5.231732409,2.156528924,5.172927218,11.49271965,7.255127428,21.84374265,7.328062841,29.31368037,3.997242174,1
12,6/17/2013,6/30/2013,00:13,3.607079844,3.904241412,3.375092591,4.21031044,3.157173578,5.284706331,2.031386718,5.959935654,11.74069921,7.589131703,24.63203753,6.585299158,32.10447503,4.753805318,1
12A,6/11/2013,6/29/2013,20:28,3.405670125,4.029609659,3.35012358,3.98939444,2.635790014,4.336684909,2.381687217,4.546049934,10.65396264,6.625480284,18.80479907,5.39,24.14651836,3.187527725,1
12A,6/19/2013,6/30/2013,08:32,3.181648158,3.471495355,3.409521374,3.72634204,2.217724284,4.178741078,2.575093202,4.821442626,10.366,6.731,19.57031622,5.628779086,26.4665503,3.527617468,1
12A-A,6/13/2013,6/30/2013,01:00,3.137143446,3.739237489,3.437060663,4.325417552,2.050537734,4.598354923,2.164555382,4.956353196,10.01173137,6.470970947,20.20559447,6.093,24.82967807,3.437095431,1
12A-B,6/13/2013,6/30/2013,00:59,3.423787523,3.833738776,3.467078453,4.463632265,2.026642544,5.164116575,2.222534814,4.829176431,10.73555681,7.103921734,21.050638,6.103455415,26.56236631,4.294019329,1
13,6/11/2013,6/29/2013,22:39,3.52174417,4.698180073,3.683698413,4.199281486,2.633903947,4.601141163,2.277333968,5.486949061,10.33578192,6.367352511,20.24917986,6.200252898,23.61798285,3.5190027,1
13,6/13/2013,6/30/2013,09:56,2.871553064,3.540827587,3.594657425,4.063357479,2.057227503,4.552971777,2.587069771,5.052264641,10.88365164,6.904269476,20.00092418,6.341611783,26.89280949,3.811970225,1
13,6/17/2013,6/30/2013,09:09,3.330822121,4.633159289,3.341344789,4.394644923,2.52782357,4.959298438,1.978040444,4.787909043,12.062,7.683351482,20.46668048,7.396522223,27.95305697,3.962994953,1
13,6/19/2013,6/30/2013,00:23,3.36057748,4.089656465,3.647538485,4.117943662,2.02579071,5.53446113,2.204359544,5.173213508,11.73575468,7.499949666,21.54732849,7.266215865,29.25998908,3.930470328,1
13,6/21/2013,6/30/2013,09:51,2.71982095,3.846094773,3.258036986,3.990290716,1.652383127,4.80522424,2.419784495,4.414268796,9.857793668,7.006357256,19.50937518,6.483233298,27.87124482,3.901387702,1
13A,6/11/2013,6/29/2013,20:20,3.599141286,4.444442935,3.673467163,4.4513307,1.810101655,5.316169768,2.088756807,4.654299088,10.80147221,6.821480924,18.11684928,6.06684638,25.38235608,3.140116081,1
13A,6/13/2013,6/30/2013,00:29,2.741895148,3.67161395,3.356269506,3.926042537,1.998561983,4.385398614,1.976864689,5.007467424,11.2466367,7.028256114,19.65107145,6.694067224,26.80076986,4.295097903,1
13A,6/15/2013,6/30/2013,08:40,3.228324178,4.180360032,2.810193766,3.735524193,2.482663489,4.851850781,2.174265853,4.613985804,10.736,6.510102918,19.22275735,6.182379235,23.79297531,3.660270618,1
