ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
9E,6/5/2013,6/29/2013,20:23,,,,,,,,,,,,,,,1
9G,6/5/2013,6/29/2013,20:21,,,,,,,,,,,,,,,1
10A-A,6/19/2013,6/30/2013,09:49,,,,,,,,,,,,,,,1
10A-B,6/19/2013,6/30/2013,00:09,,,,,,,,,,,,,,,1
11,6/14/2013,6/30/2013,00:57,,,,,,,,,,,,,,,1
12,6/17/2013,6/30/2013,00:13,,,,,,,,,,,,,,,1
12A,6/11/2013,6/29/2013,20:28,,,,,,,,,,,,,,,1
12A,6/19/2013,6/30/2013,08:32,,,,,,,,,,,,,,,1
12A-A,6/13/2013,6/30/2013,01:00,,,,,,,,,,,,,,,1
12A-B,6/13/2013,6/30/2013,00:59,,,,,,,,,,,,,,,1
13,6/11/2013,6/29/2013,22:39,,,,,,,,,,,,,,,1
13,6/13/2013,6/30/2013,09:56,,,,,,,,,,,,,,,1
13,6/17/2013,6/30/2013,09:09,,,,,,,,,,,,,,,1
13,6/19/2013,6/30/2013,00:23,,,,,,,,,,,,,,,1
13,6/21/2013,6/30/2013,09:51,,,,,,,,,,,,,,,1
13A,6/11/2013,6/29/2013,20:20,,,,,,,,,,,,,,,1
13A,6/13/2013,6/30/2013,00:29,,,,,,,,,,,,,,,1
13A,6/15/2013,6/30/2013,08:40,,,,,,,,,,,,,,,1
13A,6/17/2013,6/30/2013,00:48,,,,,,,,,,,,,,,1
15A,6/13/2013,6/30/2013,00:26,,,,,,,,,,,,,,,1
15A,6/19/2013,6/30/2013,08:25,,,,,,,,,,,,,,,1
16A,6/9/2013,6/29/2013,21:50,,,,,,,,,,,,,,,1
16B,6/9/2013,6/29/2013,21:01,,,,,,,,,,,,,,,1
16C,6/9/2013,6/29/2013,20:59,,,,,,,,,,,,,,,1
16D ,6/9/2013,6/29/2013,21:09,,,,,,,,,,,,,,,1
17A,6/15/2013,6/29/2013,23:43,,,,,,,,,,,,,,,1
19A,6/15/2013,6/30/2013,00:52,,,,,,,,,,,,,,,1
19B,6/9/2013,6/30/2013,00:18,,,,,,,,,,,,,,,1
19C,6/15/2013,6/30/2013,00:56,,,,,,,,,,,,,,,1
20AA,6/15/2013,6/29/2013,23:25,,,,,,,,,,,,,,,1
20AB,6/15/2013,6/30/2013,09:20,,,,,,,,,,,,,,,1
25A,6/9/2013,6/29/2013,21:57,,,,,,,,,,,,,,,1
28A,6/9/2013,6/29/2013,21:54,,,,,,,,,,,,,,,1
32,6/21/2013,6/30/2013,09:41,,,,,,,,,,,,,,,1
32A,6/9/2013,6/29/2013,21:40,,,,,,,,,,,,,,,1
32A,6/11/2013,6/29/2013,22:23,,,,,,,,,,,,,,,1
32A,6/15/13 (2),6/30/2013,10:01,,,,,,,,,,,,,,,1
32A,6/15/2013,6/30/2013,09:24,,,,,,,,,,,,,,,1
32A,6/19/2013,6/29/2013,23:35,,,,,,,,,,,,,,,1
32B,6/9/2013,6/29/2013,22:17,,,,,,,,,,,,,,,1
32B,6/11/2013,6/29/2013,22:25,,,,,,,,,,,,,,,1
32B,6/13/2013,6/30/2013,09:11,,,,,,,,,,,,,,,1
32B,6/19/2013,6/30/2013,00:15,,,,,,,,,,,,,,,1
32C,6/11/2013,6/29/2013,22:35,,,,,,,,,,,,,,,1
32C,6/19/2013,6/29/2013,23:28,,,,,,,,,,,,,,,1
