ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
15A-C,6/7/2013,6/29/2013,15:49,3.355182558,3.832951996,3.615522231,3.975927187,2.223512537,3.196416275,2.441444859,3.539421704,10.24584335,7.173494685,19.12704141,6.598907258,24.12260121,4.019609558,1
15A-G,6/9/2013,6/29/2013,12:49,3.589208966,3.871499193,3.579308592,3.984205316,2.732404253,4.550141207,2.092643305,4.335378415,11.11395884,7.375262436,21.20944896,7.20775943,27.99519991,4.204863137,1
15A-H,6/9/2013,6/29/2013,12:01,3.14608614,3.375437305,3.698456435,3.333208964,2.600045,3.769749196,2.398778231,3.820050392,9.880236687,6.99744189,19.24561802,6.065824346,23.75150759,4.124960727,1
16-A,6/5/2013,6/29/2013,15:53,4.16129427,3.392695241,3.991802851,4.232561872,3.432594645,4.900754636,2.71727897,4.452387225,11.91281583,7.383544,21.38835667,7.062435911,27.61511849,4.01352638,1
16A,6/11/2013,6/29/2013,12:20,4.612033174,3.601123852,4.434813299,4.192971381,3.319953162,6.421133623,2.85,5.199976635,10.90820829,7.415209033,20.79879924,6.215576884,28.80203118,4.078211495,1
16A-A,6/5/2013,6/29/2013,16:02,4.437760809,4.401132809,4.27443002,4.575246441,2.969911952,5.030519854,2.249,5.847614898,12.30790356,7.440544335,26.77432998,8.564684758,35.08378892,5.565617666,1
17A,5/22/2013,6/29/2013,09:43,5.302592668,4.346470752,4.514382571,4.634383238,3.365790398,5.206697322,2.729574509,4.708079226,13.31347716,8.244760761,26.68804095,7.560240803,34.05120017,5.758834083,1
17A-A,5/21/2013,6/29/2013,09:53,4.974704011,4.154614302,4.558960956,5.049218256,3.282444211,4.804928824,2.698011861,5.624103573,13.74048966,8.516510201,26.43720144,8.678592167,36.91529836,5.743891364,1
17A-A,5/26/2013,6/29/2013,10:37,4.162695281,4.475501536,4.282956923,4.632914633,3.30547576,5.326818187,3.620613208,4.742285103,12.61719406,7.354946975,22.98723076,6.549240567,32.48081491,5.12405162,1
17A-A2,5/26/2013,6/29/2013,11:13,4.89200184,4.477153113,4.656871482,4.645,3.762191914,5.197275632,2.93861464,5.04247122,12.80239548,7.635039489,26.38862429,7.958833709,36.218961,4.654523499,1
17A-B,5/26/2013,6/29/2013,11:04,4.710406458,4.749301106,4.560467739,5.169123427,2.944887944,5.860686393,4.16699724,4.703226233,13.57043588,8.208675411,26.92769894,8.571519644,34.1162443,5.015385329,1
17A-B2,5/26/2013,6/29/2013,11:07,4.906123521,5.058173682,4.998281005,5.212425635,3.230270886,5.455796276,3.330480446,6.492244681,13.00872453,8.414644496,26.48801469,7.284771239,36.005822,5.057999308,1
17A-C,5/26/2013,6/29/2013,11:12,4.513227005,4.776238269,4.671016378,5.46512891,3.324933984,4.871445884,2.924891964,5.140092314,12.04322556,8.144532706,26.04769673,6.483481318,32.90806053,4.276572109,1
17A-D,5/26/2013,6/29/2013,12:17,4.832672656,4.830606691,4.320377877,4.954373926,3.165022749,5.258833331,3.120955783,5.90147956,13.27959235,8.062870519,25.05802109,8.256350768,33.98114897,5.252267415,1
18,5/28/2013,6/29/2013,13:38,5.451743391,5.142851835,5.225718802,5.759076402,3.305519778,5.847719983,3.618234376,5.299923113,14.11523096,8.905478089,29.990153,9.394378745,41.0104027,5.864751401,1
18,6/7/2013,6/29/2013,16:04,3.711761307,3.752880094,3.908074334,3.734956091,2.838718373,3.79967117,2.665022514,3.38929978,11.17696672,8.090991534,23.3669422,8.90074407,27.21056605,6.373774392,1
