ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
18A-B,5/28/2013,6/29/2013,13:20,4.948,4.581,4.563,4.486,2.782,4.352,2.972,4.795,13.706,8.579,24.537,9.218,36.962,4.78,1
19,6/7/2013,6/29/2013,16:05,3.873,3.635,3.779,3.309,3.128,3.795,2.58,3.779,11.242,7.405,21.045,7.823,32.379,3.73,1
19A,5/26/2013,6/29/2013,11:15,4.497,4.549,4.512,4.535,3.135,4.855,2.923,4.404,12.474,7.616,24.24,8.205,40.176,4.272,1
19A-A,5/28/2013,6/29/2013,12:47,4.343,4.164,4.924,4.495,2.575,4.039,2.825,4.269,13.804,8.065,23.433,8.643,39.921,4.505,1
19A-B,6/9/2013,6/29/2013,12:55,4.557,3.739,4.219,3.925,2.937,4.413,2.5,4.361,11.725,7.22,22.207,7.663,36.638,4.121,1
20A-A,5/26/2013,6/29/2013,11:23,4.288,4.406,4.481,4.013,3.368,3.402,2.81,3.824,11.771,6.867,20.213,6.926,29.777,3.057,1
23(A),5/24/2013,6/29/2013,09:11,4.091,2.976,4.158,3.577,3.06,3.448,3.084,3.521,11.708,6.829,20.161,6.348,27.746,3.093,1
5A-A,5/26/2013,6/29/2013,11:24,4.484,4.011,4.335,4.214,2.937,3.374,2.769,4.151,11.345,7.143,20.734,7.501,31.328,3.511,1
12A-D,6/9/2013,6/29/2013,11:53,3.745,3.826,3.443,3.641,3.237,4.247,3.342,4.35,11.88,7.213,22.82,7.352,31.928,3.571,1
20A-D,6/5/2013,6/29/2013,11:57,4.491,4.108,4.714,4.07,3.402,3.73,3.28,3.97,11.535,7.311,21.744,7.186,33.835,3.618,1
20A-A,6/5/2013,6/29/2013,11:59,3.696,3.739,3.626,3.716,2.437,3.944,2.68,3.694,10.543,5.919,17.253,6.078,25.119,2.249,1
25,6/7/2013,6/29/2013,15:39,4.006,3.946,4.365,3.873,2.922,3.898,2.777,3.987,10.55,7.341,19.771,7.227,30.521,3.878,1
27,5/28/2013,6/29/2013,12:15,4.408,3.939,4.661,4.024,2.925,3.799,2.897,4.311,12.119,7.194,19.557,7.232,29.605,3.974,1
27-2,5/28/2013,6/29/2013,13:21,4.527,4.078,4.774,3.988,3.465,5.259,3.489,4.936,13.588,8.002,26.786,10.003,44.64,5.137,1
33-A,6/1/2013,6/29/2013,19:12,4.48,3.676,3.953,3.694,2.559,3.559,2.62,3.646,10.35,6.87,17.435,7.865,26.772,4.231,1
34-A,6/5/2013,6/29/2013,19:11,4.772,3.481,4.226,3.298,3.007,4.597,2.636,4.386,11.381,7.196,19.886,6.265,29.97,3.905,1
35,6/7/2013,6/29/2013,14:38,4.235,3.234,4.284,2.899,2.067,2.842,2.091,2.888,10.494,6.948,18.02,6.201,24.818,3.483,1
35-A,6/7/2013,6/29/2013,15:18,3.766,3.075,3.783,3.526,2.968,3.719,2.741,3.785,9.838,6.432,16.979,5.667,19.977,3.127,1
35-B,6/7/2013,6/29/2013,15:21,3.866,3.547,4.07,3.149,2.574,3.669,2.594,3.719,10.041,6.772,17.902,6.179,25.625,3.307,1
35-C,6/7/2013,6/29/2013,14:55,4.431,3.077,4.285,3.083,2.143,2.898,2.145,3.145,10.595,6.982,17.621,6.131,24.481,3.371,1
35-D,6/7/2013,6/29/2013,14:37,4.071,3.438,4.157,3.159,2.827,3.704,2.751,3.817,10.244,7.203,18.172,6.275,23.663,3.117,1
38-B,6/7/2013,6/29/2013,14:36,4.163,3.878,4.25,3.884,3.198,3.813,2.826,4.343,10.89,7.17,20.03,6.661,30.065,3.776,1
46-B,6/5/2013,6/29/2013,15:33,4.25,3.423,4.344,3.347,2.529,3.133,2.576,3.467,10.623,7.054,18.217,7.862,26.139,3.582,1
34-D,6/5/2013,6/29/2013,20:17,4.125,3.716,3.824,3.716,2.538,3.479,2.806,3.431,12.172,7.668,21.421,9.152,33.917,4.187,1
34-C,6/5/2013,6/29/2013,20:18,4.182,3.616,4.126,4.121,3.001,4.248,2.859,4.121,11.034,7.06,18.717,7.358,29.072,4,1
13A,6/11/2013,6/29/2013,20:20,3.907,3.36,4.364,3.483,2.46,3.831,2.704,3.703,10.123,6.61,16.471,6.126,25.336,3.092,1
9-G,6/5/2013,6/29/2013,20:21,4.296,3.639,4.504,3.644,2.72,4.452,2.843,4.012,10.483,6.966,19.182,8.002,30.901,3.597,1
9-E,6/5/2013,6/29/2013,20:23,4.656,3.841,4.418,3.829,2.717,3.255,2.825,3.528,12.138,7.483,20.943,7.66,28.765,3.383,1
2-C,5/30/2013,6/29/2013,20:24,5.016,4.406,4.593,4.379,2.728,4.021,2.984,4.234,14.753,7.872,26.286,9.588,44.229,5.252,1
8-A,5/30/2013,6/29/2013,20:26,4.082,4.214,4.075,4.249,2.592,4.647,2.175,4.755,12.699,8.384,25.387,9.525,41.942,5.189,1
12A,6/11/2013,6/29/2013,20:28,3.857,2.879,3.874,3.154,2.834,3.089,2.502,3.846,9.317,6.453,16.02,5.257,24.273,3.173,1
12A,6/11/2013,6/29/2013,20:28,3.863,3.061,4.014,3.015,3.218,3.269,2.956,3.461,9.824,6.506,15.762,5.423,24.167,3.184,1
46-A,6/9/2013,6/29/2013,20:42,4.363,3.212,3.923,3.33,3.231,3.438,2.982,3.41,10.619,7.135,18.892,7.26,28.699,3.948,1
46-F,6/9/2013,6/29/2013,20:43,4.248,3.451,3.836,3.444,2.448,2.674,2.29,2.599,10.974,6.678,17.434,6.763,27.094,3.275,1
49-D,6/9/2013,6/29/2013,20:45,3.837,3.359,4.001,3.367,3.154,3.853,2.982,3.769,11.071,7.194,19.942,7.518,32.362,3.988,1
38-A,6/9/2013,6/29/2013,20:47,4.336,3.308,4.135,3.136,2.201,3.33,2.929,3.378,11.431,7.112,19.138,7.376,32.031,4.303,1
46-C,6/9/2013,6/29/2013,20:48,4.062,3.273,3.963,3.275,2.393,3.264,2.538,3.627,10.395,6.728,17.836,6.407,27.766,3.645,1
38-E,6/9/2013,6/29/2013,20:50,4.006,3.63,4.313,3.437,2.338,3.664,2.223,3.296,10.517,7.067,17.53,7.408,28.142,3.906,1
6-B,6/9/2013,6/29/2013,20:52,3.589,3.283,3.97,3.519,2.655,4.33,3.004,4.156,10.297,6.834,19.105,6.88,29.004,3.678,1
7A,6/5/2013,6/29/2013,20:53,4.411,3.255,4.142,3.171,3.018,4.882,3.416,3.779,10.292,6.553,20.429,6.878,28.772,3.686,1
7A,6/5/2013,6/29/2013,20:53,4.32,3.649,3.962,3.222,3.332,4.653,3.108,4.511,10.119,6.299,19.728,6.943,29.347,3.886,1
5A,6/5/2013,6/29/2013,20:55,4.634,3.975,4.557,4.188,3.579,4.451,4.573,3.033,12.021,6.912,23.896,7.427,29.883,4.089,1
38-D,6/9/2013,6/29/2013,20:57,4.505,3.32,3.902,3.502,2.35,3.498,2.519,3.695,10.709,6.865,18.063,7.849,31.35,4.117,1
16-C,6/9/2013,6/29/2013,20:59,4.074,3.442,4.216,3.339,3.046,3.608,2.65,3.673,10.282,6.403,19.115,6.81,24.999,3.685,1
16-B,6/9/2013,6/29/2013,21:01,4.196,3.423,3.95,3.102,2.686,3.467,2.655,3.573,10.47,6.684,18.595,6.027,26.839,3.755,1
38-B,6/9/2013,6/29/2013,21:05,3.894,3.291,3.488,3.289,2.815,4.424,2.614,4.202,10.521,7.119,18.14,6.163,28.213,3.767,1
46-B,6/9/2013,6/29/2013,21:07,3.886,2.293,3.845,3.28,2.453,3.419,2.704,3.143,10.58,6.718,16.601,5.783,27.012,3.609,1
16-D,6/9/2013,6/29/2013,21:09,3.77,4.125,3.641,3.631,2.792,3.98,2.59,4.139,10.986,6.785,19.096,6.723,25.548,4.009,1
38-C,6/9/2013,6/29/2013,21:36,4.651,3.619,5.008,3.891,2.942,4.511,3.177,4.165,11.929,7.627,22.364,7.454,31.247,3.96,1
46-E,6/9/2013,6/29/2013,21:38,3.648,3.042,3.809,3.274,2.332,3.911,2.435,3.629,10.265,6.423,17.963,6.241,25.869,3.432,1
32-A,6/9/2013,6/29/2013,21:40,3.144,3.237,3.293,3.356,2.197,3.107,2.019,3.036,9.288,6.225,16.071,5.301,20.591,2.613,1
35-A,6/9/2013,6/29/2013,21:41,3.98,3.714,4.065,3.266,2.523,2.928,2.236,3.295,11.023,6.778,18.663,6.506,25.459,3.889,1
6-A,6/9/2013,6/29/2013,21:43,3.549,3.509,3.61,3.614,2.971,3.626,2.676,4.216,10.481,6.888,19.817,8.113,29.706,4.148,1
46-D,6/9/2013,6/29/2013,21:44,4.015,3.524,3.72,3.657,3.015,3.423,2.839,3.593,10.311,6.824,19.026,7.361,28.177,3.824,1
49-F,6/9/2013,6/29/2013,21:46,4.271,3.484,4.973,4.01,2.605,4.329,2.893,4.308,12.606,7.363,21.455,7.801,30.854,4.091,1
45-A,6/9/2013,6/29/2013,21:47,4.851,3.51,4.676,4.227,3.257,4.489,3.852,3.743,11.581,7.198,22.155,7.667,33.565,4.069,1
49-E,6/9/2013,6/29/2013,21:49,4.354,3.876,4.171,3.707,2.365,4.519,2.222,4.432,11.636,7.109,19.879,6.974,31.434,3.899,1
16-A,6/9/2013,6/29/2013,21:50,3.701,3.663,3.961,3.302,2.481,3.664,2.11,3.189,10.967,6.481,17.677,6.515,26.609,3.399,1
47-A,6/9/2013,6/29/2013,21:53,4.847,4.909,4.704,4.443,2.888,4.466,2.679,4.985,12.046,7.799,21.586,9.64,36.832,4.83,1
28-A,6/9/2013,6/29/2013,21:54,3.529,4.379,3.882,4.506,3.482,4.767,3.031,4.383,12.194,7.85,23.673,8.624,37.421,4.934,1
43-A,6/9/2013,6/29/2013,21:56,4.357,3.837,4.271,3.719,2.75,4.148,2.49,3.792,10.678,7.336,21.294,8.379,31.132,4.223,1
25-A,6/9/2013,6/29/2013,21:57,4.307,3.537,4.063,3.543,3.036,4.045,2.651,4.266,10.777,7.461,23.275,8.305,30.906,4.547,1
