	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial    65	+ 0:03:50.6	Cam1_TL	+ 0:02:52.8	5/28/2013	0	2.16058	82.414	0.33366	0.0125249
Trial    66	+ 0:03:50.6	Cam1_TR	+ 0:02:52.8	5/28/2013	0	0	-	-	0
Trial    67	+ 0:03:50.6	Cam1_BR	+ 0:02:52.8	5/28/2013	0	0.266424	13.6801	0.66732	0.00154447
Trial    68	+ 0:03:50.6	Cam1_BL	+ 0:02:52.8	5/28/2013	0	0.479406	32.365	2.33562	0.00277913
Trial    69	+ 0:05:08.6	Cam2_TL	+ 0:03:51.6	5/28/2013	0	0.0531058	6.00588	35.368	0.00022967
Trial    71	+ 0:05:08.6	Cam2_BR	+ 0:03:51.6	5/28/2013	0	0.0623556	7.67418	5.0049	0.000269674
Trial    73	+ 0:05:08.6	Cam3_TL	+ 0:03:51.6	5/28/2013	0	0.281546	59.7251	63.7291	0.00121762
Trial    74	+ 0:05:08.6	Cam3_TR	+ 0:03:51.6	5/28/2013	0	0.0202451	27.0265	7.34052	8.76E-05
Trial    75	+ 0:05:08.6	Cam3_BR	+ 0:03:51.6	5/28/2013	0	0.266051	100.765	3.67026	0.00115061
Trial    76	+ 0:05:08.6	Cam3_BL	+ 0:03:51.6	5/28/2013	0	0.588906	56.7222	2.33562	0.00254688
Trial    77	+ 0:05:08.6	Cam4_TL	+ 0:03:51.6	5/28/2013	0	0.114903	13.3464	54.0529	0.00049693
Trial    78	+ 0:05:08.6	Cam4_TR	+ 0:03:51.6	5/28/2013	0	0	-	-	0
Trial    79	+ 0:05:08.6	Cam4_BR	+ 0:03:51.6	5/28/2013	0	0.276116	47.0461	4.67124	0.00119414
Trial    80	+ 0:05:08.6	Cam4_BL	+ 0:03:51.6	5/28/2013	0	0.220838	10.0098	5.67222	0.000955073
Trial    81	+ 0:03:50.6	Cam5_TL	+ 0:02:52.8	5/28/2013	0	0.195166	63.0617	3.00294	0.00113138
Trial    82	+ 0:03:50.6	Cam5_TR	+ 0:02:52.8	5/28/2013	0	0.220355	60.3925	1.6683	0.00127741
Trial    83	+ 0:03:50.6	Cam5_BR	+ 0:02:52.8	5/28/2013	0	0.316234	82.414	1.33464	0.00183322
Trial    84	+ 0:03:50.6	Cam5_BL	+ 0:02:52.8	5/28/2013	0	0	-	-	0
Trial    85	+ 0:05:08.6	Cam6_TL	+ 0:03:51.6	5/28/2013	0	1.36056	166.163	1.33464	0.00588411
Trial    86	+ 0:05:08.6	Cam6_TR	+ 0:03:51.6	5/28/2013	0	0.229132	81.7467	1.33464	0.000990943
Trial    87	+ 0:05:08.6	Cam6_BR	+ 0:03:51.6	5/28/2013	0	0.00899727	1.33464	173.17	3.89E-05
Trial    88	+ 0:05:08.6	Cam6_BL	+ 0:03:51.6	5/28/2013	0	7.98642	173.837	0.66732	0.0347399
Trial    89	+ 0:05:08.6	Cam7_TL	+ 0:03:51.6	5/28/2013	0	0	-	-	0
Trial    90	+ 0:05:08.6	Cam7_TR	+ 0:03:51.6	5/28/2013	0	0	-	-	0
Trial    91	+ 0:05:08.6	Cam7_BR	+ 0:03:51.6	5/28/2013	0	2.69612	134.465	1.33464	0.0116601
