	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.3	C1.TR	+ 0:07:48.2	6/7/2013	0	0.264413	71.36	11.52	0.000565178
Trial     2	+ 0:10:24.3	C1.BR	+ 0:07:48.2	6/7/2013	0	7.64317	338.24	1.6	0.0163371
Trial     3	+ 0:10:24.3	C1.BL	+ 0:07:48.2	6/7/2013	0	0.140303	90.24	7.68	0.000299895
Trial     4	+ 0:10:24.3	C1.TL	+ 0:07:48.2	6/7/2013	0	0.520944	168.64	8	0.00111351
Trial     5	+ 0:10:24.3	C2.TR	+ 0:07:48.2	6/7/2013	0	2.22957	180.8	2.56	0.00476567
Trial     6	+ 0:10:24.3	C2.BR	+ 0:07:48.2	6/7/2013	0	0.088846	11.84	26.56	0.000189907
Trial     7	+ 0:10:24.3	C2.BL	+ 0:07:48.2	6/7/2013	0	3.08478	210.56	2.88	0.00659366
Trial     8	+ 0:10:24.3	C2.TL	+ 0:07:48.2	6/7/2013	0	0.0211096	4.8	3.84	4.51E-05
Trial     9	+ 0:10:24.3	C3.TR	+ 0:07:48.2	6/7/2013	0	0.0771224	11.84	210.24	0.0001653
Trial    10	+ 0:10:24.3	C3.BR	+ 0:07:48.2	6/7/2013	0	0.0156288	2.24	211.2	3.34E-05
Trial    11	+ 0:10:24.3	C3.BL	+ 0:07:48.2	6/7/2013	0	4.2558	256.32	1.92	0.00909669
Trial    12	+ 0:10:24.3	C3.TL	+ 0:07:48.2	6/7/2013	0	0.14905	22.4	3.52	0.000318591
Trial    13	+ 0:10:24.3	C4.TR	+ 0:07:48.2	6/7/2013	0	0.0784026	15.36	28.16	0.000167584
Trial    14	+ 0:10:24.3	C4.BR	+ 0:07:48.2	6/7/2013	0	3.63007	199.36	1.28	0.0077592
Trial    15	+ 0:10:24.3	C4.BL	+ 0:07:48.2	6/7/2013	0	2.21809	161.28	15.04	0.00474114
Trial    16	+ 0:10:24.3	C4.TL	+ 0:07:48.2	6/7/2013	0	1.43788	74.56	6.72	0.00307344
Trial    17	+ 0:10:24.3	C5.TR	+ 0:07:48.2	6/7/2013	0	0.649123	141.44	2.24	0.00138749
Trial    18	+ 0:10:24.3	C5.BR	+ 0:07:48.2	6/7/2013	0	4.71109	207.68	2.56	0.0100699
Trial    19	+ 0:10:24.3	C5.BL	+ 0:07:48.2	6/7/2013	0	0	-	-	0
Trial    20	+ 0:10:24.3	C5.TL	+ 0:07:48.2	6/7/2013	0	5.23269	291.84	2.88	0.0111848
Trial    21	+ 0:10:24.3	C6.TR	+ 0:07:48.2	6/7/2013	0	3.18416	204.8	1.92	0.00680608
Trial    22	+ 0:10:24.3	C6.BR	+ 0:07:48.2	6/7/2013	0	4.41119	288	0.96	0.00942883
Trial    23	+ 0:10:24.3	C6.BL	+ 0:07:48.2	6/7/2013	0	1.34398	72.32	8	0.00287274
Trial    24	+ 0:10:24.3	C6.TL	+ 0:07:48.2	6/7/2013	0	4.23304	208.96	1.28	0.00904805
Trial    25	+ 0:10:24.3	C7.TR	+ 0:07:48.2	6/7/2013	0	4.83141	272.96	16.96	0.0103271
Trial    26	+ 0:10:24.3	C7.BR	+ 0:07:48.2	6/7/2013	0	3.27544	196.8	1.28	0.00700121
Trial    27	+ 0:10:24.3	C7.TL	+ 0:07:48.2	6/7/2013	0	7.20809	335.68	0.96	0.0154072
Trial    28	+ 0:10:24.3	C7.BL	+ 0:07:48.2	6/7/2013	0	1.2147	83.84	238.4	0.0025964
Trial    29	+ 0:10:24.3	C8.TR	+ 0:07:48.2	6/7/2013	0	0.079098	30.72	11.52	0.000169071
Trial    30	+ 0:10:24.3	C8.BR	+ 0:07:48.2	6/7/2013	0	0.283593	59.52	2.56	0.000606174
Trial    31	+ 0:10:24.3	C8.BL	+ 0:07:48.2	6/7/2013	0	0.111335	43.84	4.48	0.000237976
Trial    32	+ 0:10:24.3	C8.TL	+ 0:07:48.2	6/7/2013	0	1.25156	143.04	5.12	0.0026752
Trial    33	+ 0:09:04.3	C9.TR	+ 0:06:48.3	6/7/2013	0	0.537491	60.8	1.6	0.00131738
Trial    34	+ 0:09:04.3	C9.BR	+ 0:06:48.3	6/7/2013	0	7.7153	249.6	0.96	0.01891
Trial    35	+ 0:09:04.3	C9.TL	+ 0:06:48.3	6/7/2013	0	0.098956	33.28	3.2	0.000242539
Trial    36	+ 0:09:04.3	C9.BL	+ 0:06:48.3	6/7/2013	0	1.60402	94.08	28.16	0.00393143
