	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.3	Cam1_BL	+ 0:07:48.2	5/25/2013	0	0.291518	30.72	0.32	0.000623115
Trial     2	+ 0:10:24.3	Cam1_BR	+ 0:07:48.2	5/25/2013	0	6.56471	202.24	148.16	0.014032
Trial     3	+ 0:10:24.3	Cam1_TL	+ 0:07:48.2	5/25/2013	0	1.64607	66.24	0.32	0.00351844
Trial     4	+ 0:10:24.3	Cam1_TR	+ 0:07:48.2	5/25/2013	0	0	-	-	0
Trial     5	+ 0:10:24.3	Cam2_BL	+ 0:07:48.2	5/25/2013	0	0	-	-	0
Trial     6	+ 0:10:24.3	Cam2_BR	+ 0:07:48.2	5/25/2013	0	0	-	-	0
Trial     7	+ 0:10:24.3	Cam2_TL	+ 0:07:48.2	5/25/2013	0	4.56176	242.24	4.16	0.00975068
Trial     8	+ 0:10:24.3	Cam2_TR	+ 0:07:48.2	5/25/2013	0	1.76027	180.8	1.6	0.00376254
Trial     9	+ 0:10:24.3	Cam3_BL	+ 0:07:48.2	5/25/2013	0	5.38191	198.4	0.32	0.0115037
Trial    10	+ 0:10:24.3	Cam3_BR	+ 0:07:48.2	5/25/2013	0	3.28711	134.72	169.92	0.00702615
Trial    11	+ 0:10:24.3	Cam3_TL	+ 0:07:48.2	5/25/2013	0	5.38279	215.36	8.96	0.0115056
Trial    12	+ 0:10:24.3	Cam3_TR	+ 0:07:48.2	5/25/2013	0	2.60665	92.48	81.6	0.00557167
Trial    13	+ 0:10:24.3	Cam4_BL	+ 0:07:48.2	5/25/2013	0	0.013325	1.92	97.92	2.85E-05
Trial    14	+ 0:10:24.3	Cam4_BR	+ 0:07:48.2	5/25/2013	0	0.0294846	4.8	125.44	6.30E-05
Trial    15	+ 0:10:24.3	Cam4_TL	+ 0:07:48.2	5/25/2013	123	9.21357	284.8	124.48	0.0267588
Trial    16	+ 0:10:24.3	Cam4_TR	+ 0:07:48.2	5/25/2013	0	0.105341	11.2	91.52	0.000225164
Trial    17	+ 0:10:24.3	Cam5_BL	+ 0:07:48.2	5/25/2013	0	0.146433	8.64	450.88	0.000312998
Trial    18	+ 0:10:24.3	Cam5_BR	+ 0:07:48.2	5/25/2013	0	0.503299	56.32	7.68	0.00107579
Trial    19	+ 0:10:24.3	Cam5_TL	+ 0:07:48.2	5/25/2013	0	0.334299	50.88	3.52	0.000714559
Trial    20	+ 0:10:24.3	Cam5_TR	+ 0:07:48.2	5/25/2013	0	0.101013	9.92	176	0.000215914
Trial    21	+ 0:10:24.3	Cam6_BL	+ 0:07:48.2	5/25/2013	0	4.04381	250.56	1.6	0.00864358
Trial    22	+ 0:10:24.3	Cam6_BR	+ 0:07:48.2	5/25/2013	0	5.6103	272.96	1.92	0.0119919
Trial    23	+ 0:10:24.3	Cam6_TL	+ 0:07:48.2	5/25/2013	0	0.943889	122.56	9.92	0.00201755
Trial    24	+ 0:10:24.3	Cam6_TR	+ 0:07:48.2	5/25/2013	0	4.43807	199.36	113.6	0.0094863
Trial    25	+ 0:10:24.3	Cam7_BL	+ 0:07:48.2	5/25/2013	0	4.69372	179.2	43.2	0.0100327
Trial    26	+ 0:10:24.3	Cam7_BR	+ 0:07:48.2	5/25/2013	0	0.0194373	1.92	166.08	4.15E-05
Trial    27	+ 0:10:24.3	Cam7_TL	+ 0:07:48.2	5/25/2013	0	4.01626	238.72	1.28	0.00858469
Trial    28	+ 0:10:24.3	Cam7_TR	+ 0:07:48.2	5/25/2013	0	0	-	-	0
Trial    29	+ 0:10:24.3	Cam8_BL	+ 0:07:48.2	5/25/2013	0	4.70988	219.84	1.28	0.0100673
Trial    30	+ 0:10:24.3	Cam8_BR	+ 0:07:48.2	5/25/2013	0	2.27562	163.52	2.24	0.0048641
Trial    31	+ 0:10:24.3	Cam8_TL	+ 0:07:48.2	5/25/2013	0	0	-	-	0
Trial    32	+ 0:10:24.3	Cam8_TR	+ 0:07:48.2	5/25/2013	0	3.89378	209.28	4.16	0.00832288
Trial    33	+ 0:10:24.3	T2_Cam1_BR	+ 0:07:48.2	5/25/2013	0	2.48209	213.009	0.800784	0.00530446
Trial    34	+ 0:10:24.3	T2_Cam1_TL	+ 0:07:48.2	5/25/2013	0	6.07933	233.829	2.40235	0.0129921
Trial    35	+ 0:10:24.3	T2_Cam1_TR	+ 0:07:48.2	5/25/2013	0	0	-	-	0
Trial    36	+ 0:10:24.3	T2_Cam2_BR	+ 0:07:48.2	5/25/2013	0	0.453099	199.395	2.93621	0.000968315
Trial    37	+ 0:10:24.3	T2_Cam2_TL	+ 0:07:48.2	5/25/2013	0	7.18446	329.923	0.533856	0.0153539
Trial    38	+ 0:10:24.3	T2_Cam2_TR	+ 0:07:48.2	5/25/2013	0	1.14979	171.635	0.533856	0.00245721
Trial    39	+ 0:10:24.3	T2_Cam3_TL	+ 0:07:48.2	5/25/2013	0	10.7901	365.691	1.06771	0.0230596
Trial    40	+ 0:10:24.3	T2_Cam3_TR	+ 0:07:48.2	5/25/2013	0	4.5058	200.73	2.13542	0.00962932
Trial    41	+ 0:10:24.3	T2_Cam4_BR	+ 0:07:48.2	5/25/2013	0	1.00085	214.61	1.33464	0.0021389
Trial    42	+ 0:10:24.3	T2_Cam4_TL	+ 0:07:48.2	5/25/2013	0	10.0435	348.074	0.533856	0.021464
Trial    43	+ 0:10:24.3	T2_Cam4_TR	+ 0:07:48.2	5/25/2013	0	7.41493	302.429	1.60157	0.0158464
Trial    44	+ 0:10:24.3	T2_Cam5_BR	+ 0:07:48.2	5/25/2013	0	8.0841	318.178	0.533856	0.0172765
Trial    45	+ 0:10:24.3	T2_Cam5_BL	+ 0:07:48.2	5/25/2013	0	0	-	-	0
Trial    46	+ 0:10:24.3	T2_Cam5_TL	+ 0:07:48.2	5/25/2013	0	13.3366	388.113	1.06771	0.0285015
Trial    47	+ 0:10:24.3	T2_Cam6_BL	+ 0:07:48.2	5/25/2013	0	2.58033	251.446	3.20314	0.00551441
Trial    48	+ 0:10:24.3	T2_Cam6_BR	+ 0:07:48.2	5/25/2013	0	2.30163	280.541	2.66928	0.00491881
Trial    49	+ 0:10:24.3	T2_Cam6_TL	+ 0:07:48.2	5/25/2013	0	3.61484	221.55	2.40235	0.00772526
Trial    50	+ 0:10:24.3	T2_Cam7_BL	+ 0:07:48.2	5/25/2013	0	4.84714	252.781	0.266928	0.0103588
Trial    51	+ 0:10:24.3	T2_Cam7_BR	+ 0:07:48.2	5/25/2013	0	5.01264	189.786	1.33464	0.0107125
Trial    52	+ 0:10:24.3	T2_Cam7_TL	+ 0:07:48.2	5/25/2013	0	8.6802	323.784	13.3464	0.0190503
Trial    53	+ 0:10:24.3	T2_Cam8_BR	+ 0:07:48.2	5/25/2013	0	0.444947	36.5691	186.316	0.000950895
Trial    54	+ 0:10:24.3	T2_Cam8_TL	+ 0:07:48.2	5/25/2013	0	12.4274	379.572	1.33464	0.0265586
Trial    55	+ 0:10:24.3	T2_Cam8_TR	+ 0:07:48.2	5/25/2013	0	8.09894	340.867	0.266928	0.0173082
