	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	Cam1_TL	+ 0:07:48.5	6/16/2013	0	4.45459	247.909	2.66928	0.00951581
Trial     2	+ 0:10:24.6	Cam1_TR	+ 0:07:48.5	6/16/2013	0	4.62234	303.964	17.0167	0.00987416
Trial     3	+ 0:10:24.6	Cam1_BR	+ 0:07:48.5	6/16/2013	0	7.97575	334.327	0.66732	0.0170376
Trial     4	+ 0:10:24.6	Cam1_BL	+ 0:07:48.5	6/16/2013	0	0.272636	113.778	1.33464	0.000582401
Trial     5	+ 0:10:24.6	Cam2_TL	+ 0:07:48.5	6/16/2013	0	8.65629	354.347	1.6683	0.0184914
Trial     6	+ 0:10:24.6	Cam2_TR	+ 0:07:48.5	6/16/2013	0	1.25194	92.4238	6.33954	0.00267438
Trial     7	+ 0:10:24.6	Cam2_BL	+ 0:07:48.5	6/16/2013	0	0.265829	16.3493	0.33366	0.000567858
Trial     8	+ 0:10:24.6	Cam2_BR	+ 0:07:48.5	6/16/2013	0	-	-	-	-
Trial     9	+ 0:10:24.6	Cam3_TL	+ 0:07:48.5	6/16/2013	0	4.38497	290.618	0.66732	0.00936709
Trial    10	+ 0:10:24.6	Cam3_TR	+ 0:07:48.5	6/16/2013	0	4.36384	289.283	1.6683	0.00932195
Trial    11	+ 0:10:24.6	Cam3_BR	+ 0:07:48.5	6/16/2013	0	2.55308	207.203	0.66732	0.00545384
Trial    12	+ 0:10:24.6	Cam3_BL	+ 0:07:48.5	6/16/2013	0	3.60986	201.197	0.33366	0.00771132
Trial    13	+ 0:10:24.6	Cam4_TL	+ 0:07:48.5	6/16/2013	0	0.0388675	11.0108	8.67516	8.30E-05
Trial    14	+ 0:10:24.6	Cam4_TR	+ 0:07:48.5	6/16/2013	0	6.22392	274.269	4.67124	0.0132954
Trial    15	+ 0:10:24.6	Cam4_BR	+ 0:07:48.5	6/16/2013	0	9.33591	338.665	22.0216	0.0199432
Trial    16	+ 0:10:24.6	Cam4_BL	+ 0:07:48.5	6/16/2013	0	8.20613	338.665	0.33366	0.0175298
Trial    17	+ 0:10:24.6	Cam5_TL	+ 0:07:48.5	6/16/2013	0	4.48615	201.197	7.67418	0.00958323
Trial    18	+ 0:10:24.6	Cam5_TR	+ 0:07:48.5	6/16/2013	0	8.06029	269.264	2.33562	0.0172182
Trial    19	+ 0:10:24.6	Cam5_BR	+ 0:07:48.5	6/16/2013	0	1.37575	160.49	14.0137	0.00293886
Trial    20	+ 0:10:24.6	Cam5_BL	+ 0:07:48.5	6/16/2013	0	5.16379	280.608	4.67124	0.0110308
Trial    21	+ 0:10:24.6	Cam6_TL	+ 0:07:48.5	6/16/2013	0	6.6218	271.266	0.33366	0.0141454
Trial    22	+ 0:10:24.6	Cam6_TR	+ 0:07:48.5	6/16/2013	0	5.21183	233.896	7.00686	0.0111334
Trial    23	+ 0:10:24.6	Cam6_BR	+ 0:07:48.5	6/16/2013	0	8.08885	303.631	3.3366	0.0172793
Trial    24	+ 0:10:24.6	Cam6_BL	+ 0:07:48.5	6/16/2013	0	8.68265	288.616	1.00098	0.0185477
Trial    25	+ 0:10:24.6	Cam7_TL	+ 0:07:48.5	6/16/2013	0	0.272868	117.115	4.67124	0.000582896
Trial    26	+ 0:10:24.6	Cam7_TR	+ 0:07:48.5	6/16/2013	0	5.73354	295.289	1.00098	0.0122479
Trial    27	+ 0:10:24.6	Cam7_BR	+ 0:07:48.5	6/16/2013	0	0.142784	90.7555	5.67222	0.000305013
Trial    28	+ 0:10:24.6	Cam7_BL	+ 0:07:48.5	6/16/2013	0	5.14822	281.275	0.66732	0.0109975
Trial    29	+ 0:10:24.6	Cam8_TL	+ 0:07:48.5	6/16/2013	0	6.73472	275.27	0.33366	0.0143866
Trial    30	+ 0:10:24.6	Cam8_TR	+ 0:07:48.5	6/16/2013	0	2.49921	265.593	2.00196	0.00533877
Trial    31	+ 0:10:24.6	Cam8_BR	+ 0:07:48.5	6/16/2013	0	0.778735	38.0372	0.66732	0.00166352
Trial    32	+ 0:10:24.6	Cam8_BL	+ 0:07:48.5	6/16/2013	0	0.102972	21.0206	369.362	0.000219968
Trial    33	+ 0:09:04.5	Cam9_TL	+ 0:06:48.4	6/16/2013	0	0	-	-	0
Trial    37	+ 0:09:04.5	Cam9_TR	+ 0:06:48.4	6/16/2013	0	4.5775	259.254	1.6683	0.0112175
Trial    38	+ 0:09:04.5	Cam9_BR	+ 0:06:48.4	6/16/2013	0	3.54966	201.864	0.66732	0.00869874
Trial    39	+ 0:09:04.5	Cam9_BL	+ 0:06:48.4	6/16/2013	0	0.399848	81.7467	1.6683	0.000979861
