	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial    39	+ 0:03:50.6	T2_Cam1_BR	+ 0:02:52.8	6/2/2013	0	2.24695	96.0941	2.33562	0.0130256
Trial    40	+ 0:03:50.6	T2_Cam1_BL	+ 0:02:52.8	6/2/2013	0	1.13611	80.4121	0.33366	0.00658608
Trial    41	+ 0:05:08.6	T2_Cam2_TL	+ 0:03:51.6	6/2/2013	0	0	-	-	0
Trial    42	+ 0:05:08.6	T2_Cam2_TR	+ 0:03:51.6	6/2/2013	0	2.67412	102.767	2.00196	0.0115649
Trial    43	+ 0:05:08.6	T2_Cam2_BR	+ 0:03:51.6	6/2/2013	0	5.39036	144.808	0.33366	0.023312
Trial    44	+ 0:05:08.6	T2_Cam2_BL	+ 0:03:51.6	6/2/2013	0	5.7664	159.823	0.66732	0.0249383
Trial    45	+ 0:05:08.6	T2_Cam3_TL	+ 0:03:51.6	6/2/2013	0	10.3789	210.873	0.33366	0.0448865
Trial    46	+ 0:05:08.6	T2_Cam3_TR	+ 0:03:51.6	6/2/2013	0	3.89091	178.174	0.66732	0.0168273
Trial    47	+ 0:05:08.6	T2_Cam3_BR	+ 0:03:51.6	6/2/2013	0	1.16852	44.7104	17.684	0.00505357
Trial    48	+ 0:05:08.6	T2_Cam3_BL	+ 0:03:51.6	6/2/2013	0	5.01957	174.171	0.66732	0.0217084
Trial    49	+ 0:05:08.6	T2_Cam4_TL	+ 0:03:51.6	6/2/2013	0	7.01792	160.49	1.6683	0.0303509
Trial    50	+ 0:05:08.6	T2_Cam4_TR	+ 0:03:51.6	6/2/2013	0	4.53985	147.811	2.00196	0.0196338
Trial    51	+ 0:05:08.6	T2_Cam4_BR	+ 0:03:51.6	6/2/2013	0	9.22893	181.511	0.33366	0.039913
Trial    52	+ 0:05:08.6	T2_Cam4_BL	+ 0:03:51.6	6/2/2013	0	0.463109	50.049	5.33856	0.00200284
Trial    53	+ 0:03:50.6	T2_Cam5_TL	+ 0:02:52.8	6/2/2013	0	1.8147	64.3964	42.0412	0.0105199
Trial    54	+ 0:03:50.6	T2_Cam5_TR	+ 0:02:52.8	6/2/2013	0	1.09576	67.733	3.67026	0.00635218
Trial    55	+ 0:03:50.6	T2_Cam5_BR	+ 0:02:52.8	6/2/2013	0	5.03911	132.797	1.00098	0.0292119
Trial    56	+ 0:03:50.6	T2_Cam5_BL	+ 0:02:52.8	6/2/2013	0	4.97621	102.434	1.00098	0.0288472
Trial    57	+ 0:05:08.3	T2_Cam6_TL	+ 0:03:51.2	6/2/2013	0	0.0272002	21.0206	41.7075	0.000117805
Trial    58	+ 0:05:08.3	T2_Cam6_TR	+ 0:03:51.2	6/2/2013	0	0.221018	38.7046	1.33464	0.000957233
Trial    59	+ 0:05:08.3	T2_Cam6_BR	+ 0:03:51.2	6/2/2013	0	8.81876	201.197	1.00098	0.0381942
Trial    60	+ 0:05:08.3	T2_Cam6_BL	+ 0:03:51.2	6/2/2013	0	3.95972	128.459	1.6683	0.0171496
Trial    61	+ 0:05:08.6	T2_Cam7_TL	+ 0:03:51.6	6/2/2013	0	0.493656	13.0127	214.21	0.00213494
Trial    62	+ 0:05:08.6	T2_Cam7_TR	+ 0:03:51.6	6/2/2013	0	0	-	-	0
Trial    63	+ 0:05:08.6	T2_Cam7_BR	+ 0:03:51.6	6/2/2013	0	1.17811	70.7359	2.66928	0.00509507
Trial    64	+ 0:05:08.6	T2_Cam7_BL	+ 0:03:51.6	6/2/2013	0	3.38051	114.112	1.00098	0.0146199
Trial    65	+ 0:05:08.6	T2_Cam8_TL	+ 0:03:51.6	6/2/2013	0	0.557359	93.0911	7.67418	0.00241045
Trial    66	+ 0:05:08.6	T2_Cam8_TR	+ 0:03:51.6	6/2/2013	0	5.70139	174.171	18.0176	0.0246572
Trial    67	+ 0:05:08.6	T2_Cam8_BR	+ 0:03:51.6	6/2/2013	0	0.0023893	1.00098	134.465	1.03E-05
Trial    68	+ 0:05:08.6	T2_Cam8_BL	+ 0:03:51.6	6/2/2013	0	3.7162	163.493	0.66732	0.0160717
Trial    69	+ 0:03:50.6	T2_Cam9_TL	+ 0:02:52.8	6/2/2013	0	2.43349	93.0911	3.00294	0.014107
Trial    70	+ 0:03:50.6	T2_Cam9_TR	+ 0:02:52.8	6/2/2013	0	2.76192	93.7585	0.66732	0.0160109
Trial    72	+ 0:03:50.6	T2_Cam9_BL	+ 0:02:52.8	6/2/2013	0	0	-	-	0
