	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.3	Cam1_BL	+ 0:07:48.2	7/18/2013	0	1.02416	69.44	2.24	0.00218913
Trial     2	+ 0:10:24.3	Cam1_BR	+ 0:07:48.2	7/18/2013	0	1.59731	104	13.12	0.00341422
Trial     3	+ 0:10:24.3	Cam1_TL	+ 0:07:48.2	7/18/2013	0	2.84306	175.04	10.24	0.006077
Trial     4	+ 0:10:24.3	Cam1_TR	+ 0:07:48.2	7/18/2013	0	2.43949	115.52	4.16	0.00521436
Trial     5	+ 0:10:24.3	Cam2_BL	+ 0:07:48.2	7/18/2013	0	7.13189	272.96	0.64	0.0152443
Trial     6	+ 0:10:24.3	Cam2_BR	+ 0:07:48.2	7/18/2013	0	1.13873	87.68	12.8	0.00243401
Trial     7	+ 0:10:24.3	Cam2_TL	+ 0:07:48.2	7/18/2013	0	4.66319	189.76	5.44	0.0099675
Trial     8	+ 0:10:24.3	Cam2_TR	+ 0:07:48.2	7/18/2013	0	0.0789788	58.56	6.4	0.000168816
Trial     9	+ 0:10:24.3	Cam3_BL	+ 0:07:48.2	7/18/2013	0	3.7577	227.52	0.64	0.00803201
Trial    10	+ 0:10:24.3	Cam3_BR	+ 0:07:48.2	7/18/2013	0	0.217966	37.76	168	0.000465898
Trial    11	+ 0:10:24.3	Cam3_TL	+ 0:07:48.2	7/18/2013	0	0.0588292	24	203.84	0.000125746
Trial    12	+ 0:10:24.3	Cam3_TR	+ 0:07:48.2	7/18/2013	0	0.516283	87.36	3.52	0.00110355
Trial    13	+ 0:10:24.3	Cam4_BL	+ 0:07:48.2	7/18/2013	0	0.708877	71.36	183.68	0.00151521
Trial    14	+ 0:10:24.3	Cam4_BR	+ 0:07:48.2	7/18/2013	0	3.16414	177.92	10.56	0.00676329
Trial    15	+ 0:10:24.3	Cam4_TL	+ 0:07:48.2	7/18/2013	0	0.983634	101.12	3.52	0.0021025
Trial    16	+ 0:10:24.3	Cam4_TR	+ 0:07:48.2	7/18/2013	0	5.24062	237.44	15.04	0.0112017
Trial    17	+ 0:10:24.3	Cam5_BL	+ 0:07:48.2	7/18/2013	0	0.794182	84.8	2.24	0.00169755
Trial    18	+ 0:10:24.3	Cam5_BR	+ 0:07:48.2	7/18/2013	0	7.59859	256.96	4.8	0.0162419
Trial    19	+ 0:10:24.3	Cam5_TL	+ 0:07:48.2	7/18/2013	0	4.58654	249.28	0.96	0.00980366
Trial    20	+ 0:10:24.3	Cam5_TR	+ 0:07:48.2	7/18/2013	0	0	-	-	0
Trial    21	+ 0:10:24.3	Cam6_BL	+ 0:07:48.2	7/18/2013	0	1.79214	157.44	1.92	0.00383067
Trial    22	+ 0:10:24.3	Cam6_BR	+ 0:07:48.2	7/18/2013	0	0.0989799	59.52	4.16	0.000211568
Trial    24	+ 0:10:24.3	Cam6_TR	+ 0:07:48.2	7/18/2013	0	1.59511	120.96	13.76	0.00341887
Trial    25	+ 0:10:24.3	Cam7_BL	+ 0:07:48.2	7/18/2013	0	2.92099	194.56	0.96	0.00630829
Trial    26	+ 0:10:24.3	Cam7_BR	+ 0:07:48.2	7/18/2013	0	5.55408	239.04	0.64	0.0122834
Trial    27	+ 0:10:24.3	Cam7_TL	+ 0:07:48.2	7/18/2013	0	7.77996	281.28	5.12	0.0168252
Trial    28	+ 0:10:24.3	Cam7_TR	+ 0:07:48.2	7/18/2013	0	0.408108	63.04	12.16	0.000873519
Trial    29	+ 0:10:24.3	Cam8_BL	+ 0:07:48.2	7/18/2013	0	0.0112993	6.72	408	0.000182954
Trial    30	+ 0:10:24.3	Cam8_BR	+ 0:07:48.2	7/18/2013	0	1.4352	126.08	2.24	0.00428778
Trial    31	+ 0:10:24.3	Cam8_TL	+ 0:07:48.2	7/18/2013	0	2.05804	185.6	0.32	0.00440505
Trial    32	+ 0:10:24.3	Cam8_TR	+ 0:07:48.2	7/18/2013	0	4.80881	156.8	44.8	0.0104503
Trial    37	+ 0:10:24.3	T2_Cam1_BR	+ 0:07:48.2	7/18/2013	0	2.8564	124.8	88.96	0.0135657
Trial    38	+ 0:10:24.3	T2_Cam1_TR	+ 0:07:48.2	7/18/2013	0	0.0108401	4.8	360.96	0.000121417
Trial    39	+ 0:10:24.3	T2_Cam2_BL	+ 0:07:48.2	7/18/2013	0	2.39218	113.28	6.72	0.00624526
Trial    40	+ 0:10:24.3	T2_Cam2_BR	+ 0:07:48.2	7/18/2013	0	5.42491	192.96	63.68	0.0132238
Trial    41	+ 0:10:24.3	T2_Cam2_TL	+ 0:07:48.2	7/18/2013	0	4.41989	220.48	2.88	0.0097132
Trial    42	+ 0:10:24.3	T2_Cam2_TR	+ 0:07:48.2	7/18/2013	0	1.63746	108.48	23.68	0.00351204
Trial    43	+ 0:10:24.3	T2_Cam3_BL	+ 0:07:48.2	7/18/2013	0	0.253032	47.36	188.8	0.000898553
Trial    44	+ 0:10:24.3	T2_Cam3_BR	+ 0:07:48.2	7/18/2013	0	0.657998	61.12	1.6	0.00141323
Trial    45	+ 0:10:24.3	T2_Cam3_TL	+ 0:07:48.2	7/18/2013	0	0.317779	54.4	204.16	0.00116693
Trial    46	+ 0:10:24.3	T2_Cam3_TR	+ 0:07:48.2	7/18/2013	0	0.99596	88.96	15.68	0.00222313
Trial    47	+ 0:10:24.3	T2_Cam5_BL	+ 0:07:48.2	7/18/2013	0	0.42938	89.92	1.28	0.00091905
Trial    48	+ 0:10:24.3	T2_Cam5_BR	+ 0:07:48.2	7/18/2013	0	1.11106	150.08	6.08	0.00242801
Trial    49	+ 0:10:24.3	T2_Cam5_TL	+ 0:07:48.2	7/18/2013	0	0.577669	111.04	5.12	0.00123645
Trial    50	+ 0:10:24.3	T2_Cam5_TR	+ 0:07:48.2	7/18/2013	0	0.0233002	23.04	10.56	4.99E-05
Trial    51	+ 0:10:24.3	T2_Cam6_BL	+ 0:07:48.2	7/18/2013	0	3.45086	164.48	0.64	0.00934484
Trial    52	+ 0:10:24.3	T2_Cam6_BR	+ 0:07:48.2	7/18/2013	0	3.86131	188.16	1.92	0.00825349
Trial    53	+ 0:10:24.3	T2_Cam6_TL	+ 0:07:48.2	7/18/2013	0	0.305855	1.92	267.2	0.0183807
Trial    54	+ 0:10:24.3	T2_Cam6_TR	+ 0:07:48.2	7/18/2013	0	0.0291156	38.4	38.4	6.22E-05
Trial    55	+ 0:10:24.3	T2_Cam7_BL	+ 0:07:48.2	7/18/2013	0	2.8465	148.8	1.28	0.00719104
Trial    56	+ 0:10:24.3	T2_Cam7_TL	+ 0:07:48.2	7/18/2013	0	0.405187	92.16	2.88	0.000866081
Trial    57	+ 0:10:24.3	T2_Cam8_BL	+ 0:07:48.2	7/18/2013	0	4.51761	269.76	1.28	0.00965632
Trial    58	+ 0:10:24.3	T2_Cam8_BR	+ 0:07:48.2	7/18/2013	0	1.12767	94.08	167.36	0.00375291
Trial    59	+ 0:10:24.3	T2_Cam8_TL	+ 0:07:48.2	7/18/2013	0	0	-	-	0
Trial    60	+ 0:10:24.3	T2_Cam8_TR	+ 0:07:48.2	7/18/2013	0	2.30789	151.68	4.16	0.00495001
Trial    66	+ 0:09:04.3	Cam9_BL	+ 0:06:48.3	7/18/2013	0	0.370719	48.64	6.08	0.000908624
Trial    67	+ 0:09:04.3	Cam9_BR	+ 0:06:48.3	7/18/2013	0	2.44216	156.48	35.2	0.00598568
Trial    68	+ 0:09:04.3	Cam9_TL	+ 0:06:48.3	7/18/2013	0	0	-	-	0
Trial    69	+ 0:09:04.3	Cam9_TR	+ 0:06:48.3	7/18/2013	0	5.22951	178.88	170.88	0.0128174
Trial    70	+ 0:09:04.3	T2_Cam9_BL	+ 0:06:48.3	7/18/2013	0	0.14015	88.32	5.12	0.000343505
Trial    71	+ 0:09:04.3	T2_Cam9_BR	+ 0:06:48.3	7/18/2013	0	3.85636	174.08	4.16	0.00945187
