	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:05:08.6	Cam1_BL	+ 0:03:50.6	9/6/2013	0	4.6518	79.5779	3.00294	0.0201908
Trial     2	+ 0:05:08.6	Cam1_BR	+ 0:03:50.6	9/6/2013	0	0.2018	33.8665	121.119	0.000875896
Trial     3	+ 0:05:08.6	Cam1_TL	+ 0:03:50.6	9/6/2013	0	1.47227	71.7369	1.16781	0.00639026
Trial     4	+ 0:05:08.6	Cam1_TR	+ 0:03:50.6	9/6/2013	0	3.62944	98.7634	2.16879	0.0157533
Trial     5	+ 0:05:08.6	Cam2_BL	+ 0:03:50.6	9/6/2013	0	0.806852	75.574	1.33464	0.00350208
Trial     6	+ 0:05:08.6	Cam2_BR	+ 0:03:50.6	9/6/2013	0	0.50946	50.5495	37.0363	0.00221127
Trial     7	+ 0:05:08.6	Cam2_TL	+ 0:03:50.6	9/6/2013	0	6.80248	150.481	0.33366	0.0295257
Trial     8	+ 0:05:08.6	Cam2_TR	+ 0:03:50.6	9/6/2013	0	0.0623939	36.5358	4.00392	0.000270816
Trial     9	+ 0:05:08.7	Cam3_BL	+ 0:03:50.6	9/6/2013	0	4.17968	100.498	2.00196	0.0181389
Trial    10	+ 0:05:08.7	Cam3_BR	+ 0:03:50.6	9/6/2013	0	0.33721	56.6555	3.40333	0.00146342
Trial    11	+ 0:05:08.7	Cam3_TL	+ 0:03:50.6	9/6/2013	0	2.94867	64.0627	122.12	0.0127966
Trial    12	+ 0:05:08.7	Cam3_TR	+ 0:03:50.6	9/6/2013	0	7.64162	134.732	2.80274	0.0331631
Trial    13	+ 0:05:08.6	Cam4_BL	+ 0:03:50.6	9/6/2013	0	2.92008	102.767	2.16879	0.0126744
Trial    14	+ 0:05:08.6	Cam4_BR	+ 0:03:50.6	9/6/2013	0	0.128736	30.0294	55.888	0.000558767
Trial    15	+ 0:05:08.6	Cam4_TL	+ 0:03:50.6	9/6/2013	0	3.5567	84.5828	2.33562	0.0154376
Trial    16	+ 0:05:08.6	Cam4_TR	+ 0:03:50.6	9/6/2013	0	3.63042	103.935	0.500489	0.0157576
Trial    17	+ 0:05:08.6	Cam5_BL	+ 0:03:50.6	9/6/2013	439	4.59521	80.9126	2.00196	0.0315875
Trial    18	+ 0:05:08.6	Cam5_BR	+ 0:03:50.6	9/6/2013	0	5.06669	102.267	2.00196	0.0219916
Trial    19	+ 0:05:08.6	Cam5_TL	+ 0:03:50.6	9/6/2013	356	5.09469	98.5965	2.83611	0.0264859
Trial    20	+ 0:05:08.6	Cam5_TR	+ 0:03:50.6	9/6/2013	30	4.76473	107.939	2.33562	0.024122
Trial    21	+ 0:05:08.6	Cam6_BL	+ 0:03:50.6	9/6/2013	0	1.49591	63.5622	3.16977	0.0064929
Trial    22	+ 0:05:08.6	Cam6_BR	+ 0:03:50.6	9/6/2013	0	0.385654	62.0608	52.8851	0.0016739
Trial    23	+ 0:05:08.6	Cam6_TL	+ 0:03:50.6	9/6/2013	0	0.482522	105.77	1.00098	0.00209435
Trial    24	+ 0:05:08.6	Cam6_TR	+ 0:03:50.6	9/6/2013	0	0.0555023	36.5358	3.50343	0.000240903
Trial    25	+ 0:05:08.6	Cam7_BL	+ 0:03:50.6	9/6/2013	0	4.84057	115.113	2.00196	0.0210101
Trial    26	+ 0:05:08.6	Cam7_BR	+ 0:03:50.6	9/6/2013	0	10.7188	160.991	2.50245	0.0465239
Trial    27	+ 0:05:08.6	Cam7_TL	+ 0:03:50.6	9/6/2013	0	3.8623	125.122	0.834149	0.016764
Trial    28	+ 0:05:08.6	Cam7_TR	+ 0:03:50.6	9/6/2013	0	1.74627	70.2354	3.67026	0.00757955
Trial    29	+ 0:05:08.7	Cam8_BL	+ 0:03:50.6	9/6/2013	0	0.0175216	11.4112	67.8664	7.60E-05
Trial    30	+ 0:05:08.7	Cam8_BR	+ 0:03:50.6	9/6/2013	0	0.0804348	47.4465	2.40235	0.000349071
Trial    31	+ 0:05:08.7	Cam8_TL	+ 0:03:50.6	9/6/2013	0	3.17409	55.8547	149.346	0.0137749
Trial    32	+ 0:05:08.7	Cam8_TR	+ 0:03:50.6	9/6/2013	0	5.12343	128.726	4.20412	0.0222347
Trial    33	+ 0:05:08.6	Cam9_BL	+ 0:03:50.6	9/6/2013	0	0.0176151	1.00098	220.716	7.65E-05
Trial    34	+ 0:05:08.6	Cam9_BR	+ 0:03:50.6	9/6/2013	0	3.41325	81.2462	8.84199	0.014815
Trial    35	+ 0:05:08.6	Cam9_TL	+ 0:03:50.6	9/6/2013	0	0.242257	20.1864	2.83611	0.0010515
Trial    36	+ 0:05:08.6	Cam9_TR	+ 0:03:50.6	9/6/2013	0	5.78641	139.637	2.33562	0.0251155
Trial    37	+ 0:02:05.1	T2_Cam1_BL	+ 0:01:33.7	9/6/2013	0	0	-	-	0
Trial    38	+ 0:02:05.1	T2_Cam1_BR	+ 0:01:33.7	9/6/2013	0	2.34271	19.2188	2.13542	0.0250223
Trial    39	+ 0:02:05.1	T2_Cam1_TL	+ 0:01:33.7	9/6/2013	0	0.125509	17.0167	2.53582	0.00134055
Trial    40	+ 0:02:05.1	T2_Cam1_TR	+ 0:01:33.7	9/6/2013	0	0	-	-	0
Trial    42	+ 0:02:05.1	T2_Cam2_BR	+ 0:01:33.6	9/6/2013	0	0.043096	2.80274	5.57212	0.000460468
Trial    43	+ 0:02:05.1	T2_Cam2_TL	+ 0:01:33.6	9/6/2013	0	4.13572	36.5024	0.200196	0.044189
Trial    44	+ 0:02:05.1	T2_Cam2_TR	+ 0:01:33.6	9/6/2013	0	0	-	-	0
Trial    45	+ 0:02:05.1	T2_Cam3_BL	+ 0:01:33.6	9/6/2013	0	5.63586	39.8056	13.7802	0.0602176
Trial    46	+ 0:02:05.1	T2_Cam3_BR	+ 0:01:33.6	9/6/2013	0	0.22561	8.90872	1.03435	0.00241058
Trial    47	+ 0:02:05.1	T2_Cam3_TL	+ 0:01:33.6	9/6/2013	0	0.208625	4.57114	72.471	0.0022291
Trial    48	+ 0:02:05.1	T2_Cam3_TR	+ 0:01:33.6	9/6/2013	0	4.08562	38.7046	0.66732	0.0436537
Trial    49	+ 0:02:05.1	T2_Cam4_BL	+ 0:01:33.6	9/6/2013	0	3.44144	34.3336	1.30127	0.0367708
Trial    50	+ 0:02:05.1	T2_Cam4_BR	+ 0:01:33.6	9/6/2013	0	2.22945	23.0893	1.50147	0.023821
Trial    51	+ 0:02:05.1	T2_Cam4_TL	+ 0:01:33.6	9/6/2013	0	1.49195	20.7203	0.266928	0.015941
Trial    52	+ 0:02:05.1	T2_Cam4_TR	+ 0:01:33.6	9/6/2013	0	1.61029	20.1864	3.10304	0.0172055
Trial    53	+ 0:02:05.1	T2_Cam5_BL	+ 0:01:33.6	9/6/2013	0	0.147821	4.77134	1.00098	0.00157942
Trial    54	+ 0:02:05.1	T2_Cam5_BR	+ 0:01:33.6	9/6/2013	0	0	-	-	0
Trial    55	+ 0:02:05.1	T2_Cam5_TL	+ 0:01:33.6	9/6/2013	0	1.2982	21.3876	9.37585	0.0138709
Trial    56	+ 0:02:05.1	T2_Cam5_TR	+ 0:01:33.6	9/6/2013	0	7.67325	55.8881	1.03435	0.0819865
Trial    57	+ 0:02:05.1	T2_Cam6_BL	+ 0:01:33.6	9/6/2013	0	0.84035	26.3258	0.266928	0.0089789
