	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	T1_Cam1_BL	+ 0:07:48.5	6/26/2013	0	9.33461	365.024	2.33562	0.0199404
Trial     2	+ 0:10:24.6	T1_Cam1_BR	+ 0:07:48.5	6/26/2013	0	1.58384	109.774	282.944	0.00338336
Trial     3	+ 0:10:24.6	T1_Cam1_TL	+ 0:07:48.5	6/26/2013	0	1.33381	163.16	10.0098	0.00284926
Trial     4	+ 0:10:24.6	T1_Cam1_TR	+ 0:07:48.5	6/26/2013	0	0.0324327	3.00294	1.00098	6.93E-05
Trial     5	+ 0:10:24.6	T1_Cam2_BL	+ 0:07:48.5	6/26/2013	0	3.3359	147.478	156.153	0.0071261
Trial     6	+ 0:10:24.6	T1_Cam2_BR	+ 0:07:48.5	6/26/2013	0	0.0802721	83.0813	5.67222	0.000171476
Trial     7	+ 0:10:24.6	T1_Cam2_TL	+ 0:07:48.5	6/26/2013	40	12.3184	327.654	0.66732	0.0296777
Trial     8	+ 0:10:24.6	T1_Cam2_TR	+ 0:07:48.5	6/26/2013	0	0.124524	88.0862	3.00294	0.000266005
Trial     9	+ 0:10:24.7	T1_Cam3_BL	+ 0:07:48.3	6/26/2013	0	3.57033	231.593	7.70755	0.00762959
Trial    10	+ 0:10:24.7	T1_Cam3_BR	+ 0:07:48.3	6/26/2013	0	1.77205	144.241	2.93621	0.00378676
Trial    11	+ 0:10:24.7	T1_Cam3_TL	+ 0:07:48.3	6/26/2013	0	0.774669	170.667	1.4681	0.00165542
Trial    12	+ 0:10:24.7	T1_Cam3_TR	+ 0:07:48.3	6/26/2013	0	0	-	-	0
Trial    13	+ 0:10:24.6	T1_Cam4_BL	+ 0:07:48.5	6/26/2013	0	2.05317	166.83	5.67222	0.00438595
Trial    14	+ 0:10:24.6	T1_Cam4_BR	+ 0:07:48.5	6/26/2013	0	0.241564	140.137	2.33562	0.000516025
Trial    15	+ 0:10:24.6	T1_Cam4_TL	+ 0:07:48.5	6/26/2013	0	0.330376	91.0892	7.34052	0.000705743
Trial    16	+ 0:10:24.6	T1_Cam4_TR	+ 0:07:48.5	6/26/2013	0	1.34941	151.815	3.67026	0.00288259
Trial    17	+ 0:10:24.6	T1_Cam5_BL	+ 0:07:48.5	6/26/2013	0	2.58438	239.234	7.00686	0.0055207
Trial    18	+ 0:10:24.6	T1_Cam5_BR	+ 0:07:48.5	6/26/2013	0	2.45799	207.537	104.769	0.00525071
Trial    19	+ 0:10:24.6	T1_Cam5_TL	+ 0:07:48.5	6/26/2013	0	1.17268	161.158	4.00392	0.00250505
Trial    20	+ 0:10:24.6	T1_Cam5_TR	+ 0:07:48.5	6/26/2013	0	1.30509	93.0911	0.66732	0.00278791
Trial    21	+ 0:10:24.6	T1_Cam6_BL	+ 0:07:48.5	6/26/2013	0	0.521414	68.4003	99.4307	0.00111384
Trial    22	+ 0:10:24.6	T1_Cam6_BR	+ 0:07:48.5	6/26/2013	0	0.00427048	1.00098	241.236	9.12E-06
Trial    23	+ 0:10:24.6	T1_Cam6_TL	+ 0:07:48.5	6/26/2013	0	0.241531	36.7026	2.00196	0.000515953
Trial    24	+ 0:10:24.6	T1_Cam6_TR	+ 0:07:48.5	6/26/2013	0	0	-	-	0
Trial    25	+ 0:10:24.6	T1_Cam7_BL	+ 0:07:48.5	6/26/2013	0	1.52227	176.172	9.00882	0.00325185
Trial    26	+ 0:10:24.6	T1_Cam7_BR	+ 0:07:48.5	6/26/2013	0	4.92234	309.636	0.66732	0.010515
Trial    27	+ 0:10:24.6	T1_Cam7_TL	+ 0:07:48.5	6/26/2013	0	0.205129	88.0862	2.33562	0.000438192
Trial    28	+ 0:10:24.6	T1_Cam7_TR	+ 0:07:48.5	6/26/2013	0	4.82866	257.252	1.00098	0.0103149
Trial    29	+ 0:10:24.6	T1_Cam8_BL	+ 0:07:48.5	6/26/2013	0	5.34707	244.906	1.00098	0.0114223
Trial    30	+ 0:10:24.6	T1_Cam8_BR	+ 0:07:48.5	6/26/2013	0	0	-	-	0
Trial    31	+ 0:10:24.6	T1_Cam8_TL	+ 0:07:48.5	6/26/2013	0	3.80817	201.531	1.33464	0.00813495
Trial    32	+ 0:10:24.6	T1_Cam8_TR	+ 0:07:48.5	6/26/2013	0	1.65528	144.475	0.66732	0.00353598
Trial    38	+ 0:10:24.6	T2_Cam1_BR	+ 0:07:48.5	6/26/2013	0	0.567386	228.557	3.00294	0.00121204
Trial    39	+ 0:10:24.6	T2_Cam1_TL	+ 0:07:48.5	6/26/2013	0	2.37468	154.818	5.0049	0.00507275
Trial    40	+ 0:10:24.6	T2_Cam1_TR	+ 0:07:48.5	6/26/2013	0	5.72954	237.566	6.33954	0.0122393
Trial    41	+ 0:10:24.6	T2_Cam2_BL	+ 0:07:48.5	6/26/2013	0	0.4322	22.3552	117.4483	0.0009
Trial    42	+ 0:10:24.6	T2_Cam2_BR	+ 0:07:48.5	6/26/2013	0	0.329381	162.826	1.6683	0.000703617
Trial    43	+ 0:10:24.6	T2_Cam2_TL	+ 0:07:48.5	6/26/2013	0	0.761731	171.168	2.00196	0.0016272
Trial    44	+ 0:10:24.6	T2_Cam2_TR	+ 0:07:48.5	6/26/2013	0	1.28925	192.855	0.66732	0.00275407
Trial    45	+ 0:10:24.6	T2_Cam3_BL	+ 0:07:48.5	6/26/2013	0	0.0962426	104.102	4.00392	0.000205592
Trial    46	+ 0:10:24.6	T2_Cam3_BR	+ 0:07:48.5	6/26/2013	0	1.56515	163.827	4.67124	0.00334344
Trial    47	+ 0:10:24.6	T2_Cam3_TL	+ 0:07:48.5	6/26/2013	0	1.6463	221.217	1.6683	0.0035168
Trial    48	+ 0:10:24.6	T2_Cam3_TR	+ 0:07:48.5	6/26/2013	0	0.100853	45.0441	4.00392	0.00021544
Trial    49	+ 0:10:24.6	T2_Cam4_BL	+ 0:07:48.5	6/26/2013	0	4.0458	223.219	2.00196	0.00864256
Trial    50	+ 0:10:24.6	T2_Cam4_BR	+ 0:07:48.5	6/26/2013	0	1.62232	107.772	0.33366	0.00346558
Trial    51	+ 0:10:24.6	T2_Cam4_TL	+ 0:07:48.5	6/26/2013	0	0.638782	173.837	1.6683	0.00136456
Trial    52	+ 0:10:24.6	T2_Cam4_TR	+ 0:07:48.5	6/26/2013	0	0.0834331	61.7271	43.0421	0.00017861
Trial    53	+ 0:10:24.6	T2_Cam5_BL	+ 0:07:48.5	6/26/2013	0	1.42014	292.953	1.33464	0.00303368
Trial    54	+ 0:10:24.6	T2_Cam5_BR	+ 0:07:48.5	6/26/2013	0	1.02332	55.3876	384.043	0.002186
Trial    55	+ 0:10:24.6	T2_Cam5_TL	+ 0:07:48.5	6/26/2013	0	1.71166	141.138	8.67516	0.00365641
Trial    56	+ 0:10:24.6	T2_Cam5_TR	+ 0:07:48.5	6/26/2013	0	2.15666	169.833	6.00588	0.00460701
Trial    57	+ 0:10:24.6	T2_Cam6_BL	+ 0:07:48.5	6/26/2013	0	0	-	-	0
Trial    58	+ 0:10:24.6	T2_Cam6_BR	+ 0:07:48.5	6/26/2013	0	0.456124	84.416	5.67222	0.000974364
Trial    59	+ 0:10:24.6	T2_Cam6_TL	+ 0:07:48.5	6/26/2013	0	0.481478	177.507	1.00098	0.00102852
Trial    60	+ 0:10:24.6	T2_Cam6_TR	+ 0:07:48.5	6/26/2013	0	0	-	-	0
Trial    61	+ 0:10:24.6	T2_Cam7_BL	+ 0:07:48.5	6/26/2013	0	4.48014	304.965	1.33464	0.00957039
Trial    62	+ 0:10:24.6	T2_Cam7_BR	+ 0:07:48.5	6/26/2013	0	4.19839	255.917	1.33464	0.00896853
Trial    63	+ 0:10:24.6	T2_Cam7_TL	+ 0:07:48.5	6/26/2013	0	0.548494	116.447	5.67222	0.00117168
Trial    64	+ 0:10:24.6	T2_Cam7_TR	+ 0:07:48.5	6/26/2013	0	3.6043	239.234	4.33758	0.00769944
Trial    65	+ 0:10:24.6	T2_Cam8_BL	+ 0:07:48.5	6/26/2013	0	6.88167	229.558	1.00098	0.0147005
Trial    66	+ 0:10:24.6	T2_Cam8_BR	+ 0:07:48.5	6/26/2013	0	0.202134	124.122	5.67222	0.000431795
Trial    67	+ 0:10:24.6	T2_Cam8_TL	+ 0:07:48.5	6/26/2013	0	2.06273	181.177	5.33856	0.00440636
Trial    68	+ 0:10:24.6	T2_Cam8_TR	+ 0:07:48.5	6/26/2013	0	1.5498	215.211	1.33464	0.00331065
Trial    74	+ 0:10:24.6	T2_Cam1_BL	+ 0:07:48.5	6/26/2013	0	9.07943	336.663	0.66732	0.0193953
Trial    75	+ 0:09:04.5	T2_Cam9_BL	+ 0:06:48.4	6/26/2013	0	2.56266	138.135	5.0049	0.00628
Trial    76	+ 0:09:04.5	T2_Cam9_BR	+ 0:06:48.4	6/26/2013	0	3.96191	224.887	3.3366	0.00970899
Trial    77	+ 0:09:04.5	T2_Cam9_TL	+ 0:06:48.4	6/26/2013	0	0.669546	54.7202	261.256	0.00171511
Trial    78	+ 0:09:04.5	T2_Cam9_TR	+ 0:06:48.4	6/26/2013	0	1.07628	138.469	1.00098	0.00263752
Trial    79	+ 0:09:04.5	T1_Cam9_BR	+ 0:06:48.4	6/26/2013	0	2.48562	181.177	3.3366	0.00609121
Trial    80	+ 0:09:04.5	T1_Cam9_BL	+ 0:06:48.4	6/26/2013	0	2.41452	268.596	4.00392	0.00591697
Trial    81	+ 0:09:04.5	T1_Cam9_TL	+ 0:06:48.4	6/26/2013	0	0.0524862	3.67026	199.862	0.000128622
Trial    82	+ 0:09:04.5	T1_Cam9_TR	+ 0:06:48.4	6/26/2013	0	0	-	-	0
