	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:03:50.2	C1.BL	+ 0:02:52.7	6/28/2013	0	0.971047	71.2364	0.500489	0.00562919
Trial     2	+ 0:03:50.2	C1.BR	+ 0:02:52.7	6/28/2013	0	2.42372	84.416	1.6683	0.0140504
Trial     3	+ 0:03:50.2	C1.TL	+ 0:02:52.7	6/28/2013	0	0.0680076	23.523	3.16977	0.000394242
Trial     4	+ 0:03:50.2	C1.TR	+ 0:02:52.7	6/28/2013	0	1.86732	75.0735	2.16879	0.0108249
Trial    15	+ 0:03:50.2	C4.TL	+ 0:02:52.7	6/28/2013	0	0	-	-	0
Trial    17	+ 0:03:50.2	C5.BL	+ 0:02:52.7	6/28/2013	0	0.11442	29.6957	1.6683	0.000663297
Trial    18	+ 0:03:50.2	C5.BR	+ 0:02:52.7	6/28/2013	0	8.51771	131.629	0.16683	0.0493774
Trial    19	+ 0:03:50.2	C5.TL	+ 0:02:52.7	6/28/2013	0	9.42129	123.454	0.16683	0.0546155
Trial    20	+ 0:03:50.2	C5.TR	+ 0:02:52.7	6/28/2013	0	8.07598	122.12	0.500489	0.0468167
Trial    33	+ 0:03:50.2	C9.BL	+ 0:02:52.7	6/28/2013	0	2.85939	85.2501	0.16683	0.016576
Trial    34	+ 0:03:50.2	C9.BR	+ 0:02:52.7	6/28/2013	0	4.90916	114.612	1.00098	0.0284585
Trial    35	+ 0:03:50.2	C9.TL	+ 0:02:52.7	6/28/2013	0	0.598337	57.0559	0.834149	0.00346858
Trial    36	+ 0:03:50.2	C9.TR	+ 0:02:52.7	6/28/2013	0	0	-	-	0
Trial    37	+ 0:05:08.3	C2.BL	+ 0:03:51.2	6/28/2013	0	0.962178	88.5867	1.83513	0.0041642
Trial    38	+ 0:05:08.3	C2.BR	+ 0:03:51.2	6/28/2013	0	0.283327	49.3817	1.16781	0.00122621
Trial    39	+ 0:05:08.3	C2.TL	+ 0:03:51.2	6/28/2013	0	0.979905	71.2364	4.00392	0.00424092
Trial    40	+ 0:05:08.3	C2.TR	+ 0:03:51.2	6/28/2013	0	1.47278	84.416	2.50245	0.00637403
Trial    41	+ 0:05:08.3	C3.BL	+ 0:03:51.2	6/28/2013	0	0.286034	55.2207	3.00294	0.00123792
Trial    42	+ 0:05:08.3	C3.BR	+ 0:03:51.2	6/28/2013	0	1.26774	79.7447	3.83709	0.00548665
Trial    43	+ 0:05:08.3	C3.TL	+ 0:03:51.2	6/28/2013	0	5.08283	125.79	0.16683	0.0219979
Trial    44	+ 0:05:08.3	C3.TR	+ 0:03:51.2	6/28/2013	0	3.56325	105.77	0.16683	0.0154213
Trial    45	+ 0:05:08.3	C4.BL	+ 0:03:51.2	6/28/2013	0	1.7349	83.9155	2.33562	0.00750847
Trial    46	+ 0:05:08.3	C4.BR	+ 0:03:51.2	6/28/2013	0	0.0150134	1.00098	1.16781	6.50E-05
Trial    47	+ 0:05:08.3	C4.TR	+ 0:03:51.2	6/28/2013	0	0.0209024	1.00098	10.3435	9.05E-05
Trial    48	+ 0:05:08.3	C6.BL	+ 0:03:51.2	6/28/2013	0	0.19617	25.1913	140.971	0.000849001
Trial    49	+ 0:05:08.3	C6.BR	+ 0:03:51.2	6/28/2013	0	5.29192	119.117	0.66732	0.0229028
Trial    50	+ 0:05:08.3	C6.TL	+ 0:03:51.2	6/28/2013	0	2.16487	94.4258	2.16879	0.00936933
Trial    51	+ 0:05:08.3	C6.TR	+ 0:03:51.2	6/28/2013	0	4.43272	131.462	1.33464	0.0191843
Trial    52	+ 0:05:08.3	C7.BL	+ 0:03:51.2	6/28/2013	0	7.08082	147.978	0.16683	0.030645
Trial    53	+ 0:05:08.3	C7.BR	+ 0:03:51.2	6/28/2013	0	0.167526	20.1864	92.4238	0.000725035
Trial    54	+ 0:05:08.3	C7.TL	+ 0:03:51.2	6/28/2013	0	5.0298	112.61	8.50833	0.0217684
Trial    55	+ 0:05:08.3	C7.TR	+ 0:03:51.2	6/28/2013	0	0.395599	36.0353	2.83611	0.00171211
Trial    56	+ 0:05:08.3	C8.BL	+ 0:03:51.2	6/28/2013	0	3.67012	106.604	2.16879	0.0158839
Trial    57	+ 0:05:08.3	C8.BR	+ 0:03:51.2	6/28/2013	0	4.5599	108.606	3.50343	0.0199072
Trial    58	+ 0:05:08.3	C8.TL	+ 0:03:51.2	6/28/2013	0	4.52779	123.121	2.00196	0.0195958
Trial    59	+ 0:05:08.3	C8.TR	+ 0:03:51.2	6/28/2013	0	0.691008	54.7202	1.83513	0.00299061
