	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	Cam1.BL	+ 0:07:48.5	6/14/2013	0	6.82324	274.269	8.00784	0.0145757
Trial     2	+ 0:10:24.6	Cam1.BR	+ 0:07:48.5	6/14/2013	0	3.5196	215.211	1.00098	0.00751851
Trial     3	+ 0:10:24.6	Cam1.TL	+ 0:07:48.5	6/14/2013	0	4.99896	284.612	0.33366	0.0106787
Trial     4	+ 0:10:24.0	Cam1.TR	+ 0:07:48.0	6/14/2013	0	10.1238	89.6211	0.233562	0.0216325
Trial     5	+ 0:10:24.6	Cam2.BR	+ 0:07:48.5	6/14/2013	0	2.01005	163.493	2.66928	0.00429383
Trial     7	+ 0:10:24.6	Cam2.TR	+ 0:07:48.5	6/14/2013	0	1.75954	132.797	3.67026	0.00375871
Trial    13	+ 0:10:24.6	Cam4.BL	+ 0:07:48.5	6/14/2013	0	9.75248	347.34	6.00588	0.0208331
Trial    14	+ 0:10:24.6	Cam4.BR	+ 0:07:48.5	6/14/2013	0	9.86078	338.999	0.66732	0.0210644
Trial    15	+ 0:10:24.6	Cam4.TL	+ 0:07:48.5	6/14/2013	0	0.0443208	43.0421	3.00294	9.47E-05
Trial    16	+ 0:10:24.6	Cam4.TR	+ 0:07:48.5	6/14/2013	0	11.6127	354.013	0.33366	0.0248069
Trial    17	+ 0:10:24.6	Cam5.BL	+ 0:07:48.5	6/14/2013	0	9.12078	331.658	1.00098	0.0194837
Trial    18	+ 0:10:24.6	Cam5.BR	+ 0:07:48.5	6/14/2013	0	9.94978	346.673	0.33366	0.0212545
Trial    19	+ 0:10:24.6	Cam5.TL	+ 0:07:48.5	6/14/2013	0	9.45351	326.653	1.33464	0.0201944
Trial    20	+ 0:10:24.6	Cam5.TR	+ 0:07:48.5	6/14/2013	0	9.50538	335.328	2.66928	0.0203052
Trial    21	+ 0:10:24.6	Cam6.BL	+ 0:07:48.5	6/14/2013	0	0.948274	208.204	0.66732	0.00202568
Trial    22	+ 0:10:24.6	Cam6.BR	+ 0:07:48.5	6/14/2013	0	0.446185	83.415	122.12	0.000953132
Trial    24	+ 0:10:24.6	Cam6.TR	+ 0:07:48.5	6/14/2013	0	0.0351836	36.0353	3.3366	7.52E-05
Trial    25	+ 0:10:24.6	Cam7.BL	+ 0:07:48.5	6/14/2013	0	11.388	379.705	1.33464	0.0243268
Trial    26	+ 0:10:24.6	Cam7.BR	+ 0:07:48.5	6/14/2013	0	7.93502	319.98	1.33464	0.0169506
Trial    27	+ 0:10:24.6	Cam7.TL	+ 0:07:48.5	6/14/2013	0	1.46603	161.158	5.0049	0.0031317
Trial    28	+ 0:10:24.6	Cam7.TR	+ 0:07:48.5	6/14/2013	0	8.12806	348.007	0.33366	0.017363
Trial    29	+ 0:10:24.6	Cam8.BL	+ 0:07:48.5	6/14/2013	0	0	-	-	0
Trial    30	+ 0:10:24.6	Cam8.BR	+ 0:07:48.5	6/14/2013	0	10.6156	383.375	0.33366	0.0226769
Trial    31	+ 0:10:24.6	Cam8.TL	+ 0:07:48.5	6/14/2013	0	2.75204	230.225	1.00098	0.00587886
Trial    32	+ 0:10:24.6	Cam8.TR	+ 0:07:48.5	6/14/2013	0	7.82106	331.324	1.33464	0.0167072
Trial    33	+ 0:09:04.5	Cam9.BL	+ 0:06:48.4	6/14/2013	0	0.0140382	5.0049	1.33464	3.44E-05
Trial    34	+ 0:09:04.5	Cam9.BR	+ 0:06:48.4	6/14/2013	0	8.25228	314.641	0.33366	0.0202229
Trial    35	+ 0:09:04.5	Cam9.TL	+ 0:06:48.4	6/14/2013	0	0.243024	100.765	1.6683	0.00059555
Trial    36	+ 0:09:04.5	Cam9.TR	+ 0:06:48.4	6/14/2013	0	8.97504	332.993	1.00098	0.0219941
Trial    37	+ 0:07:50.8	Cam2.TL	+ 0:05:53.0	6/14/2013	0	2.67026	194.524	8.00784	0.00757135
Trial    38	+ 0:06:11.7	Cam6.TL	+ 0:04:38.9	6/14/2013	0	1.65812	133.13	0.33366	0.00595148
