	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:03:50.6	Cam1.BL	+ 0:02:52.8	5/29/2013	0	0.0108936	3.00294	8.67516	6.32E-05
Trial     2	+ 0:03:50.6	Cam1.BR	+ 0:02:52.8	5/29/2013	0	1.39767	66.732	0.33366	0.00810232
Trial     3	+ 0:03:50.6	Cam1.TL	+ 0:02:52.8	5/29/2013	0	0.833586	69.4013	0.66732	0.00483232
Trial     4	+ 0:03:50.6	Cam1.TR	+ 0:02:52.8	5/29/2013	0	0.0316104	35.0343	4.33758	0.000183246
Trial     5	+ 0:05:08.6	Cam2.BL	+ 0:03:51.6	5/29/2013	0	0.803877	79.4111	3.00294	0.00347658
Trial     6	+ 0:05:08.6	Cam2.BR	+ 0:03:51.6	5/29/2013	0	4.56708	115.446	1.00098	0.0197515
Trial     7	+ 0:05:08.6	Cam2.TL	+ 0:03:51.6	5/29/2013	0	0.0467257	49.048	4.33758	0.000202078
Trial     8	+ 0:05:08.6	Cam2.TR	+ 0:03:51.6	5/29/2013	0	0	-	-	0
Trial     9	+ 0:05:08.6	Cam3.BL	+ 0:03:51.6	5/29/2013	0	0.479473	51.05	0.33366	0.00207361
Trial    10	+ 0:05:08.6	Cam3.BR	+ 0:03:51.6	5/29/2013	0	1.12406	69.0676	0.33366	0.00486129
Trial    11	+ 0:05:08.6	Cam3.TL	+ 0:03:51.6	5/29/2013	0	0.0842662	55.7212	5.67222	0.000364432
Trial    12	+ 0:05:08.6	Cam3.TR	+ 0:03:51.6	5/29/2013	0	0.0871104	47.0461	4.00392	0.000376732
Trial    13	+ 0:05:08.6	Cam4.BL	+ 0:03:51.6	5/29/2013	0	0.0185698	2.00196	74.0725	8.03E-05
Trial    14	+ 0:05:08.6	Cam4.BR	+ 0:03:51.6	5/29/2013	0	0.0351104	3.3366	5.33856	0.000151844
Trial    15	+ 0:05:08.6	Cam4.TL	+ 0:03:51.6	5/29/2013	0	0.00960593	1.00098	85.7506	4.15E-05
Trial    16	+ 0:05:08.6	Cam4.TR	+ 0:03:51.6	5/29/2013	0	0	-	-	0
Trial    17	+ 0:03:50.6	Cam5.BR	+ 0:02:52.8	5/29/2013	0	0	-	-	0
Trial    18	+ 0:03:50.6	Cam5.BL	+ 0:02:52.8	5/29/2013	0	0.020089	2.00196	59.7251	0.000116456
Trial    19	+ 0:03:50.6	Cam5.TL	+ 0:02:52.8	5/29/2013	0	0	-	-	0
Trial    20	+ 0:03:50.6	Cam5.TR	+ 0:02:52.8	5/29/2013	0	0.960064	63.7291	1.00098	0.00556552
Trial    21	+ 0:05:08.6	Cam6.BL	+ 0:03:51.6	5/29/2013	0	0.870476	32.6987	34.7006	0.0037646
Trial    22	+ 0:05:08.6	Cam6.BR	+ 0:03:51.6	5/29/2013	0	2.88421	130.461	1.00098	0.0124735
Trial    23	+ 0:05:08.6	Cam6.TL	+ 0:03:51.6	5/29/2013	0	9.324	198.528	0.33366	0.0403241
Trial    24	+ 0:05:08.6	Cam6.TR	+ 0:03:51.6	5/29/2013	0	0.101865	55.3876	4.33758	0.000440541
Trial    25	+ 0:05:08.6	Cam7.BL	+ 0:03:51.6	5/29/2013	0	0.26134	80.7457	3.00294	0.00113024
Trial    26	+ 0:05:08.6	Cam7.BR	+ 0:03:51.6	5/29/2013	0	7.10302	184.18	0.66732	0.0307189
Trial    27	+ 0:05:08.6	Cam7.TL	+ 0:03:51.6	5/29/2013	0	0	-	-	0
Trial    28	+ 0:05:08.6	Cam7.TR	+ 0:03:51.6	5/29/2013	0	1.15052	94.4258	2.33562	0.00497574
Trial    29	+ 0:05:08.6	Cam8.BL	+ 0:03:51.6	5/29/2013	0	0.00383701	1.00098	157.821	1.66E-05
Trial    30	+ 0:05:08.6	Cam8.BR	+ 0:03:51.6	5/29/2013	0	0	-	-	0
Trial    31	+ 0:05:08.6	Cam8.TL	+ 0:03:51.6	5/29/2013	0	0.129817	32.6987	2.66928	0.00056143
Trial    32	+ 0:05:08.6	Cam8.TR	+ 0:03:51.6	5/29/2013	0	0	-	-	0
Trial    33	+ 0:10:24.6	Cam1.BL.T2	+ 0:07:48.5	5/29/2013	0	4.27937	237.9	2.00196	0.00914152
Trial    34	+ 0:10:24.6	Cam1.BR.T2	+ 0:07:48.5	5/29/2013	0	0.318933	59.7251	3.67026	0.000681299
Trial    35	+ 0:10:24.6	Cam1.TL.T2	+ 0:07:48.5	5/29/2013	0	7.63461	314.308	1.6683	0.0163089
Trial    36	+ 0:10:24.6	Cam1.TR.T2	+ 0:07:48.5	5/29/2013	0	0.846982	255.25	1.00098	0.00180931
Trial    37	+ 0:10:24.6	Cam2.BL.T2	+ 0:07:48.5	5/29/2013	0	0.648336	114.445	1.6683	0.00138496
Trial    38	+ 0:10:24.6	Cam2.BR.T2	+ 0:07:48.5	5/29/2013	0	1.64284	229.224	2.33562	0.0035094
Trial    39	+ 0:10:24.6	Cam2.TL.T2	+ 0:07:48.5	5/29/2013	0	0.0327199	8.00784	266.594	6.99E-05
Trial    40	+ 0:10:24.6	Cam2.TR.T2	+ 0:07:48.5	5/29/2013	0	0.530171	136.467	1.00098	0.00113254
Trial    41	+ 0:10:24.6	Cam3.BL.T2	+ 0:07:48.5	5/29/2013	0	0.0195865	2.00196	188.184	4.18E-05
Trial    42	+ 0:10:24.6	Cam3.BR.T2	+ 0:07:48.5	5/29/2013	0	0	-	-	0
Trial    43	+ 0:10:24.6	Cam3.TL.T2	+ 0:07:48.5	5/29/2013	0	2.33571	217.213	3.00294	0.0049895
Trial    44	+ 0:10:24.6	Cam3.TR.T2	+ 0:07:48.5	5/29/2013	0	1.05084	185.849	2.66928	0.00224478
Trial    45	+ 0:10:24.6	Cam4.BL.T2	+ 0:07:48.5	5/29/2013	0	2.68654	163.16	16.0157	0.00573894
Trial    46	+ 0:10:24.6	Cam4.BR.T2	+ 0:07:48.5	5/29/2013	0	0.0787202	10.0098	13.0127	0.000168161
Trial    48	+ 0:10:24.6	Cam4.TR.T2	+ 0:07:48.5	5/29/2013	0	0	-	-	0
Trial    49	+ 0:10:24.6	Cam5.BL.T2	+ 0:07:48.5	5/29/2013	0	12.4533	415.407	0.33366	0.0266025
Trial    50	+ 0:10:24.6	Cam5.BR.T2	+ 0:07:48.5	5/29/2013	0	14.1736	403.395	2.00196	0.0302774
Trial    51	+ 0:10:24.6	Cam5.TL.T2	+ 0:07:48.5	5/29/2013	0	0.76539	224.887	2.66928	0.00163501
Trial    52	+ 0:10:24.6	Cam5.TR.T2	+ 0:07:48.5	5/29/2013	0	4.567	252.247	2.00196	0.00975594
Trial    53	+ 0:10:24.6	Cam6.BL.T2	+ 0:07:48.5	5/29/2013	0	0	-	-	0
Trial    54	+ 0:10:24.6	Cam6.BR.T2	+ 0:07:48.5	5/29/2013	0	0.654906	118.783	2.33562	0.001399
Trial    55	+ 0:10:24.6	Cam6.TL.T2	+ 0:07:48.5	5/29/2013	0	10.8976	311.638	1.00098	0.0232793
Trial    56	+ 0:10:24.6	Cam6.TR.T2	+ 0:07:48.5	5/29/2013	0	0	-	-	0
Trial    57	+ 0:10:24.6	Cam7.BL.T2	+ 0:07:48.5	5/29/2013	0	0	-	-	0
Trial    58	+ 0:10:24.6	Cam7.BR.T2	+ 0:07:48.5	5/29/2013	0	0	-	-	0
Trial    59	+ 0:10:24.6	Cam7.TL.T2	+ 0:07:48.5	5/29/2013	0	0.0487836	5.0049	83.415	0.000104211
Trial    60	+ 0:10:24.6	Cam7.TR.T2	+ 0:07:48.5	5/29/2013	0	0.0150355	2.00196	142.806	3.21E-05
Trial    61	+ 0:10:24.6	Cam8.BL.T2	+ 0:07:48.5	5/29/2013	0	0.515067	100.098	0.33366	0.00110028
Trial    62	+ 0:10:24.6	Cam8.BR.T2	+ 0:07:48.5	5/29/2013	0	5.38769	335.662	1.33464	0.0115091
Trial    63	+ 0:10:24.6	Cam8.TL.T2	+ 0:07:48.5	5/29/2013	0	0.59759	141.472	2.33562	0.00127747
Trial    64	+ 0:10:24.6	Cam8.TR.T2	+ 0:07:48.5	5/29/2013	0	1.18198	88.7536	2.66928	0.00252493
Trial    65	+ 0:10:24.6	Cam4.TL.T2	+ 0:07:48.5	5/29/2013	0	6.55995	272.934	9.67614	0.0140133
