	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial    15	+ 0:10:24.3	C5.BR	+ 0:07:48.2	5/30/2013	0	0.463102	45.44	2.24	0.000989873
Trial    16	+ 0:10:24.3	C5.BL	+ 0:07:48.2	5/30/2013	0	0	-	-	0
Trial    17	+ 0:10:24.3	C5.TR	+ 0:07:48.2	5/30/2013	0	1.81886	150.72	0.64	0.00388779
Trial    18	+ 0:10:24.3	C5.TL	+ 0:07:48.2	5/30/2013	0	7.57409	271.36	0.32	0.0161895
Trial    19	+ 0:10:24.3	C6.BL	+ 0:07:48.2	5/30/2013	0	0.152465	73.92	1.28	0.000325891
Trial    20	+ 0:10:24.3	C6.BR	+ 0:07:48.2	5/30/2013	0	5.77288	291.84	0.96	0.0123394
Trial    21	+ 0:10:24.3	C6.TL	+ 0:07:48.2	5/30/2013	0	0.64249	206.72	3.2	0.00137331
Trial    22	+ 0:10:24.3	C6.TR	+ 0:07:48.2	5/30/2013	0	3.33588	242.56	3.2	0.00713039
Trial    23	+ 0:10:24.3	C7.BL	+ 0:07:48.2	5/30/2013	0	0.185733	71.04	8.96	0.000397002
Trial    24	+ 0:10:24.3	C7.BR	+ 0:07:48.2	5/30/2013	0	1.22817	132.8	11.52	0.00262519
Trial    25	+ 0:10:24.3	C7.TL	+ 0:07:48.2	5/30/2013	0	2.1888	288.96	17.28	0.00485107
Trial    26	+ 0:10:24.3	C7.TR	+ 0:07:48.2	5/30/2013	0	0.392033	119.68	11.52	0.000837965
Trial    27	+ 0:10:24.3	C8.BL	+ 0:07:48.2	5/30/2013	0	0.629078	39.36	0.64	0.00134464
Trial    28	+ 0:10:24.3	C8.BR	+ 0:07:48.2	5/30/2013	0	1.66752	185.28	2.88	0.0035643
Trial    29	+ 0:10:24.3	C8.TL	+ 0:07:48.2	5/30/2013	0	3.60024	188.16	1.28	0.00769545
Trial    30	+ 0:10:24.3	C8.TR	+ 0:07:48.2	5/30/2013	0	0.289422	151.68	4.8	0.000618635
