	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial    65	+ 0:03:50.9	T1_Cam1_BL	+ 0:02:52.8	7/3/2013	0	0.0901788	41.0402	2.66928	0.000522769
Trial    66	+ 0:03:50.9	T1_Cam1_BR	+ 0:02:52.8	7/3/2013	0	7.50539	141.472	0.33366	0.043509
Trial    67	+ 0:03:50.9	T1_Cam1_TL	+ 0:02:52.8	7/3/2013	0	0.3116	33.366	5.0049	0.00180636
Trial    68	+ 0:03:50.9	T1_Cam1_TR	+ 0:02:52.8	7/3/2013	0	3.1934	117.448	1.00098	0.0185122
Trial    69	+ 0:05:06.6	T1_Cam2_BL	+ 0:03:54.6	7/3/2013	0	0.825268	67.3993	0.66732	0.00352333
Trial    70	+ 0:05:06.6	T1_Cam2_BR	+ 0:03:54.6	7/3/2013	0	0.0821374	29.6957	52.3846	0.000350671
Trial    71	+ 0:05:06.6	T1_Cam2_TL	+ 0:03:54.6	7/3/2013	0	0	-	-	0
Trial    72	+ 0:05:06.6	T1_Cam2_TR	+ 0:03:54.6	7/3/2013	0	0.1822	65.0637	2.33562	0.000777868
Trial    73	+ 0:05:06.6	T1_Cam3_BL	+ 0:03:54.6	7/3/2013	0	0.23146	49.7153	6.33954	0.000988176
Trial    74	+ 0:05:06.6	T1_Cam3_BR	+ 0:03:54.6	7/3/2013	0	0	-	-	0
Trial    75	+ 0:05:06.6	T1_Cam3_TL	+ 0:03:54.6	7/3/2013	0	0	-	-	0
Trial    76	+ 0:05:06.6	T1_Cam3_TR	+ 0:03:54.6	7/3/2013	0	8.21636	158.822	0.33366	0.0350783
Trial    77	+ 0:05:06.6	T1_Cam4_BL	+ 0:03:54.6	7/3/2013	0	5.54962	149.813	3.67026	0.0236931
Trial    78	+ 0:05:06.6	T1_Cam4_BR	+ 0:03:54.6	7/3/2013	0	0.27317	73.7389	3.00294	0.00116625
Trial    79	+ 0:05:06.6	T1_Cam4_TL	+ 0:03:54.6	7/3/2013	0	0.0225445	25.0245	6.33954	9.62E-05
Trial    80	+ 0:05:06.6	T1_Cam4_TR	+ 0:03:54.6	7/3/2013	0	2.01209	113.444	2.33562	0.00859024
Trial    81	+ 0:03:50.9	T1_Cam5_BL	+ 0:02:52.8	7/3/2013	0	4.14357	97.0951	5.67222	0.0240204
Trial    82	+ 0:03:50.9	T1_Cam5_BR	+ 0:02:52.8	7/3/2013	0	0.0781246	59.0578	3.00294	0.00045289
Trial    83	+ 0:03:50.9	T1_Cam5_TL	+ 0:02:52.8	7/3/2013	0	0.186955	35.7016	6.00588	0.00108378
