	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.3	C1.BL	+ 0:07:48.2	6/3/2013	0	0	-	-	0
Trial     2	+ 0:10:24.3	C1.BR	+ 0:07:48.2	6/3/2013	0	0.0350029	3.84	40	7.48E-05
Trial     3	+ 0:10:24.3	C1.TL	+ 0:07:48.2	6/3/2013	0	0.00470232	4.8	7.68	1.01E-05
Trial     4	+ 0:10:24.3	C1.TR	+ 0:07:48.2	6/3/2013	0	6.02937	270.72	3.2	0.0128877
Trial     5	+ 0:10:24.3	C2.BL	+ 0:07:48.2	6/3/2013	0	0.053764	33.28	8.32	0.00011492
Trial     6	+ 0:10:24.3	C2.BR	+ 0:07:48.2	6/3/2013	0	0.00403609	0.96	31.68	8.63E-06
Trial     7	+ 0:10:24.3	C2.TL	+ 0:07:48.2	6/3/2013	0	0.069484	23.04	15.68	0.000148521
Trial     8	+ 0:10:24.3	C2.TR	+ 0:07:48.2	6/3/2013	0	5.68285	244.8	2.56	0.012147
Trial     9	+ 0:10:24.3	C3.BL	+ 0:07:48.2	6/3/2013	0	0.953924	74.56	0.96	0.002039
Trial    10	+ 0:10:24.3	C3.BR	+ 0:07:48.2	6/3/2013	0	6.24048	287.68	0.32	0.0133389
Trial    11	+ 0:10:24.3	C3.TL	+ 0:07:48.2	6/3/2013	0	0.0788817	9.6	109.12	0.000168608
Trial    12	+ 0:10:24.3	C3.TR	+ 0:07:48.2	6/3/2013	0	2.36756	160	0.32	0.00506063
Trial    13	+ 0:10:24.3	C4.BL	+ 0:07:48.2	6/3/2013	0	1.93657	187.52	0.64	0.00413938
Trial    14	+ 0:10:24.3	C4.BR	+ 0:07:48.2	6/3/2013	0	1.29776	168.96	22.72	0.00277394
Trial    15	+ 0:10:24.3	C4.TL	+ 0:07:48.2	6/3/2013	0	0.125365	74.88	6.08	0.000267966
Trial    16	+ 0:10:24.3	C4.TR	+ 0:07:48.2	6/3/2013	0	2.66499	189.76	6.4	0.00569637
Trial    17	+ 0:10:24.3	C5.BL	+ 0:07:48.2	6/3/2013	0	0.812555	111.04	6.72	0.00173682
Trial    18	+ 0:10:24.3	C5.BR	+ 0:07:48.2	6/3/2013	0	4.12932	246.4	0.32	0.00882635
Trial    19	+ 0:10:24.3	C5.TL	+ 0:07:48.2	6/3/2013	0	0	-	-	0
Trial    20	+ 0:10:24.3	C5.TR	+ 0:07:48.2	6/3/2013	0	5.37521	233.6	6.72	0.0114894
Trial    21	+ 0:10:24.3	C6.BL	+ 0:07:48.2	6/3/2013	0	0.00176282	0.96	31.36	3.77E-06
Trial    22	+ 0:10:24.3	C6.BR	+ 0:07:48.2	6/3/2013	0	0.800361	73.92	8.32	0.00171076
Trial    23	+ 0:10:24.3	C6.TL	+ 0:07:48.2	6/3/2013	0	0.906811	89.6	2.88	0.00193829
Trial    24	+ 0:10:24.3	C6.TR	+ 0:07:48.2	6/3/2013	0	0	-	-	0
Trial    25	+ 0:10:24.3	C7.BL	+ 0:07:48.2	6/3/2013	0	0.675168	114.24	0.64	0.00144316
Trial    26	+ 0:10:24.3	C7.BR	+ 0:07:48.2	6/3/2013	0	8.60448	285.12	1.92	0.0183919
Trial    27	+ 0:10:24.3	C7.TL	+ 0:07:48.2	6/3/2013	0	1.90116	162.88	0.96	0.00406369
Trial    28	+ 0:10:24.3	C7.TR	+ 0:07:48.2	6/3/2013	0	0.269773	80.64	4.16	0.000576635
Trial    29	+ 0:10:24.3	C8.BL	+ 0:07:48.2	6/3/2013	0	0.152401	71.04	2.88	0.000325755
Trial    30	+ 0:10:24.3	C8.BR	+ 0:07:48.2	6/3/2013	0	0.424847	171.52	4.8	0.000908103
Trial    31	+ 0:10:24.3	C8.TL	+ 0:07:48.2	6/3/2013	0	4.62799	230.08	1.6	0.00989226
Trial    32	+ 0:10:24.3	C8.TR	+ 0:07:48.2	6/3/2013	0	1.49604	176.64	1.6	0.00319777
Trial    33	+ 0:09:04.3	C9.BL	+ 0:06:48.3	6/3/2013	0	6.63424	255.36	0.32	0.0162604
Trial    34	+ 0:09:04.3	C9.BR	+ 0:06:48.3	6/3/2013	0	0.0291324	3.84	19.52	7.14E-05
Trial    35	+ 0:09:04.3	C9.TL	+ 0:06:48.3	6/3/2013	0	0	-	-	0
Trial    36	+ 0:09:04.3	C9.TR	+ 0:06:48.3	6/3/2013	0	0.149399	16.32	4.48	0.000366174
Trial    37	+ 0:09:55.5	T2.C1.BL	+ 0:07:26.7	6/3/2013	0	0	-	-	0
Trial    38	+ 0:09:55.5	T2.C1.BR	+ 0:07:26.7	6/3/2013	0	4.03484	241.92	8.64	0.00903862
Trial    39	+ 0:09:55.5	T2.C1.TR	+ 0:07:26.7	6/3/2013	0	2.61734	206.72	3.52	0.00586322
Trial    40	+ 0:09:55.5	T2.C1.TL	+ 0:07:26.7	6/3/2013	0	1.99878	142.4	2.24	0.00447755
Trial    41	+ 0:09:55.5	T2.C2.BR	+ 0:07:26.7	6/3/2013	0	7.16018	264.96	7.68	0.0160398
Trial    42	+ 0:09:55.5	T2.C2.BL	+ 0:07:26.7	6/3/2013	0	0.909292	128.64	9.6	0.00203694
Trial    43	+ 0:09:55.5	T2.C2.TR	+ 0:07:26.7	6/3/2013	0	11.7542	365.76	1.28	0.0263312
Trial    44	+ 0:09:55.5	T2.C2.TL	+ 0:07:26.7	6/3/2013	0	2.99875	173.12	0.32	0.00671764
Trial    45	+ 0:09:55.5	T2.C3.BR	+ 0:07:26.7	6/3/2013	0	0.22812	14.08	54.08	0.000512124
Trial    46	+ 0:09:55.5	T2.C3.BL	+ 0:07:26.7	6/3/2013	0	0	-	-	0
Trial    47	+ 0:09:55.5	T2.C3.TR	+ 0:07:26.7	6/3/2013	0	4.09887	141.44	255.04	0.00918207
Trial    48	+ 0:09:55.5	T2.C3.TL	+ 0:07:26.7	6/3/2013	0	0.0555938	6.72	132.8	0.000124538
Trial    49	+ 0:09:55.5	T2.C4.BR	+ 0:07:26.7	6/3/2013	0	3.92674	167.04	179.2	0.00879647
Trial    50	+ 0:09:55.5	T2.C4.BL	+ 0:07:26.7	6/3/2013	0	0.031561	4.8	113.6	7.07E-05
Trial    51	+ 0:09:55.5	T2.C4.TR	+ 0:07:26.7	6/3/2013	0	0.119507	10.88	3.2	0.000267714
Trial    52	+ 0:09:55.5	T2.C4.TL	+ 0:07:26.7	6/3/2013	0	0.00712557	3.84	10.24	1.60E-05
Trial    53	+ 0:09:55.5	T2.C5.BR	+ 0:07:26.7	6/3/2013	0	0.0635162	6.72	294.08	0.000142285
Trial    54	+ 0:09:55.5	T2.C5.BL	+ 0:07:26.7	6/3/2013	0	4.76057	180.16	1.28	0.0106644
