	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial    85	+ 0:10:24.3	C1.TR	+ 0:07:48.2	6/10/2013	0	0.719158	48.32	27.52	0.00153719
Trial    86	+ 0:10:24.3	C2.BL	+ 0:07:48.2	6/10/2013	0	10.1471	349.44	0.32	0.0216893
Trial    87	+ 0:10:24.3	C2.BR	+ 0:07:48.2	6/10/2013	0	0.720496	50.56	330.24	0.00154005
Trial    88	+ 0:10:24.3	C2.TL	+ 0:07:48.2	6/10/2013	0	5.59486	238.72	4.8	0.0119589
Trial    89	+ 0:10:24.3	C2.TR	+ 0:07:48.2	6/10/2013	0	10.5383	368.96	1.6	0.0225254
Trial    90	+ 0:10:24.3	C3.BL	+ 0:07:48.2	6/10/2013	247	1.70653	87.04	96.96	0.00453479
Trial    91	+ 0:10:24.3	C3.BR	+ 0:07:48.2	6/10/2013	0	1.0793	54.4	293.44	0.00230697
Trial    92	+ 0:10:24.3	C3.TL	+ 0:07:48.2	6/10/2013	0	1.28022	67.2	61.76	0.00273644
Trial    93	+ 0:10:24.3	C3.TR	+ 0:07:48.2	6/10/2013	0	0.814946	50.88	4.8	0.00174193
Trial    94	+ 0:10:24.3	C4.BL	+ 0:07:48.2	6/10/2013	0	0.459182	62.4	28.16	0.000981494
Trial    95	+ 0:10:24.3	C4.BR	+ 0:07:48.2	6/10/2013	0	2.07612	176.96	7.04	0.00443766
Trial    96	+ 0:10:24.3	C4.TL	+ 0:07:48.2	6/10/2013	0	0.0439812	38.4	20.8	9.40E-05
Trial    97	+ 0:10:24.3	C4.TR	+ 0:07:48.2	6/10/2013	0	0.0903432	73.92	2.88	0.000193107
Trial    98	+ 0:10:24.3	C5.BL	+ 0:07:48.2	6/10/2013	0	0.226857	70.4	1.28	0.000484903
Trial    99	+ 0:10:24.3	C5.BR	+ 0:07:48.2	6/10/2013	0	1.37015	60.16	0.64	0.00292868
Trial   100	+ 0:10:24.3	C5.TL	+ 0:07:48.2	6/10/2013	0	2.94235	159.68	0.64	0.00628923
Trial   101	+ 0:10:24.3	C5.TR	+ 0:07:48.2	6/10/2013	0	2.90049	160.96	1.28	0.00619975
Trial   102	+ 0:10:24.3	C6.BL	+ 0:07:48.2	6/10/2013	316	0.780583	70.72	1.6	0.00166848
Trial   103	+ 0:10:24.3	C6.BR	+ 0:07:48.2	6/10/2013	0	4.03581	172.8	2.88	0.00862648
Trial   104	+ 0:10:24.3	C6.TL	+ 0:07:48.2	6/10/2013	0	7.08481	286.72	3.2	0.0151437
Trial   105	+ 0:10:24.3	C6.TR	+ 0:07:48.2	6/10/2013	0	2.15315	142.08	0.64	0.00460232
Trial   106	+ 0:10:24.3	C7.BL	+ 0:07:48.2	6/10/2013	0	3.22698	202.56	5.12	0.00689761
Trial   107	+ 0:10:24.3	C7.BR	+ 0:07:48.2	6/10/2013	0	0.0100067	0.96	319.04	2.14E-05
Trial   108	+ 0:10:24.3	C7.TL	+ 0:07:48.2	6/10/2013	0	0.0222217	3.84	7.04	4.75E-05
Trial   109	+ 0:10:24.3	C7.TR	+ 0:07:48.2	6/10/2013	0	0.199918	57.92	2.24	0.000427321
Trial   110	+ 0:10:24.3	C8.BL	+ 0:07:48.2	6/10/2013	0	0.885495	50.88	376.32	0.00189273
Trial   111	+ 0:10:24.3	C8.BR	+ 0:07:48.2	6/10/2013	0	0.0100024	0.96	388.8	2.14E-05
