	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	T1_Cam1_BL	+ 0:07:48.5	6/13/2013	0	3.02002	213.209	4.33758	0.00645131
Trial     2	+ 0:10:24.6	T1_Cam1_BR	+ 0:07:48.5	6/13/2013	0	4.46356	253.248	3.3366	0.00953497
Trial     3	+ 0:10:24.6	T1_Cam1_TL	+ 0:07:48.5	6/13/2013	0	7.2517	301.295	2.66928	0.0154909
Trial     4	+ 0:10:24.6	T1_Cam1_TR	+ 0:07:48.5	6/13/2013	0	1.42748	128.125	1.33464	0.00304936
Trial     5	+ 0:10:24.6	T1_Cam4_BL	+ 0:07:48.5	6/13/2013	0	2.57357	169.166	4.33758	0.00549762
Trial     6	+ 0:10:24.6	T1_Cam4_BR	+ 0:07:48.5	6/13/2013	0	4.18009	278.94	2.66928	0.00892944
Trial     7	+ 0:10:24.6	T1_Cam4_TL	+ 0:07:48.5	6/13/2013	0	0.13405	120.118	4.67124	0.000286355
Trial     8	+ 0:10:24.6	T1_Cam4_TR	+ 0:07:48.5	6/13/2013	0	0.120865	114.112	5.0049	0.00025819
Trial     9	+ 0:10:24.6	T1_Cam5_BL	+ 0:07:48.5	6/13/2013	0	1.89354	248.243	3.3366	0.00404494
Trial    10	+ 0:10:24.6	T1_Cam5_BR	+ 0:07:48.5	6/13/2013	0	1.11705	163.827	28.6948	0.00238623
Trial    11	+ 0:10:24.6	T1_Cam5_TL	+ 0:07:48.5	6/13/2013	0	0.015505	34.0333	64.0627	3.31E-05
Trial    12	+ 0:10:24.6	T1_Cam5_TR	+ 0:07:48.5	6/13/2013	0	8.23943	336.329	0.33366	0.0176009
Trial    13	+ 0:10:24.6	T1_Cam6_BL	+ 0:07:48.5	6/13/2013	0	2.08332	251.913	5.0049	0.00445036
Trial    14	+ 0:10:24.6	T1_Cam6_BR	+ 0:07:48.5	6/13/2013	0	0.743305	96.0941	7.67418	0.00158783
Trial    15	+ 0:10:24.6	T1_Cam6_TL	+ 0:07:48.5	6/13/2013	0	6.63103	322.649	0.66732	0.0141651
Trial    16	+ 0:10:24.6	T1_Cam6_TR	+ 0:07:48.5	6/13/2013	0	5.51782	273.268	5.33856	0.0117871
Trial    17	+ 0:10:24.6	T1_Cam7_BL	+ 0:07:48.5	6/13/2013	0	2.77925	205.201	2.00196	0.00593698
Trial    18	+ 0:10:24.6	T1_Cam7_BR	+ 0:07:48.5	6/13/2013	0	0.0140295	34.0333	11.0108	3.00E-05
Trial    19	+ 0:10:24.6	T1_Cam7_TL	+ 0:07:48.5	6/13/2013	0	0.0368239	70.0686	9.67614	7.87E-05
Trial    20	+ 0:10:24.6	T1_Cam7_TR	+ 0:07:48.5	6/13/2013	0	1.59723	210.873	4.67124	0.00341198
Trial    21	+ 0:10:24.6	T1_Cam8_BL	+ 0:07:48.5	6/13/2013	0	2.32952	164.161	0.66732	0.00497628
Trial    23	+ 0:10:24.6	T1_Cam8_TL	+ 0:07:48.5	6/13/2013	0	4.8967	262.924	2.66928	0.0104602
Trial    24	+ 0:10:24.6	T1_Cam8_TR	+ 0:07:48.5	6/13/2013	0	0.0118944	3.00294	55.3876	2.54E-05
Trial    29	+ 0:10:24.6	T1_Cam8_BR	+ 0:07:48.5	6/13/2013	0	2.9251	153.484	7.34052	0.00624854
Trial    30	+ 0:10:24.6	Cam1_BL	+ 0:07:48.5	6/13/2013	0	5.82848	264.259	0.33366	0.0124507
Trial    31	+ 0:10:24.6	Cam1_TL	+ 0:07:48.5	6/13/2013	0	0.462442	127.792	6.00588	0.000988565
Trial    32	+ 0:10:24.6	Cam1_TR	+ 0:07:48.5	6/13/2013	0	9.76914	352.345	0.33366	0.0208687
Trial    33	+ 0:10:24.6	Cam4_BL	+ 0:07:48.5	6/13/2013	0	6.20267	280.942	0.33366	0.01325
Trial    34	+ 0:10:24.6	Cam4_BR	+ 0:07:48.5	6/13/2013	0	10.2747	352.011	0.66732	0.0219486
Trial    35	+ 0:10:24.6	Cam4_TL	+ 0:07:48.5	6/13/2013	0	5.39203	241.57	1.00098	0.0115184
Trial    36	+ 0:10:24.6	Cam4_TR	+ 0:07:48.5	6/13/2013	0	2.40399	174.171	7.00686	0.00513535
Trial    37	+ 0:10:24.6	Cam5_BL	+ 0:07:48.5	6/13/2013	0	5.2693	321.315	1.33464	0.0112562
Trial    38	+ 0:10:24.6	Cam5_BR	+ 0:07:48.5	6/13/2013	0	5.51072	249.244	23.3562	0.0117719
Trial    39	+ 0:10:24.6	Cam5_TL	+ 0:07:48.5	6/13/2013	0	0.00337269	2.00196	33.0323	7.20E-06
Trial    40	+ 0:10:24.6	Cam5_TR	+ 0:07:48.5	6/13/2013	0	0	-	-	0
Trial    41	+ 0:10:24.6	Cam6_BL	+ 0:07:48.5	6/13/2013	0	0	-	-	0
Trial    42	+ 0:10:24.6	Cam6_BR	+ 0:07:48.5	6/13/2013	0	0.0565646	76.0745	11.6781	0.000120832
Trial    43	+ 0:10:24.6	Cam6_TL	+ 0:07:48.5	6/13/2013	0	8.14369	319.646	3.00294	0.0173964
Trial    44	+ 0:10:24.6	Cam6_TR	+ 0:07:48.5	6/13/2013	0	10.3894	353.012	0.66732	0.0221936
Trial    45	+ 0:10:24.6	Cam7_BL	+ 0:07:48.5	6/13/2013	0	5.42039	257.919	6.6732	0.0115789
Trial    46	+ 0:10:24.6	Cam7_BR	+ 0:07:48.5	6/13/2013	0	0.104293	50.049	163.493	0.000222789
Trial    47	+ 0:10:24.6	Cam7_TL	+ 0:07:48.5	6/13/2013	0	0.164209	82.0804	171.835	0.000350781
Trial    48	+ 0:10:24.6	Cam7_TR	+ 0:07:48.5	6/13/2013	0	3.53722	223.219	2.33562	0.00755614
Trial    49	+ 0:10:24.6	Cam8_BL	+ 0:07:48.5	6/13/2013	0	0	-	-	0
Trial    50	+ 0:10:24.6	Cam8_BR	+ 0:07:48.5	6/13/2013	0	0.362505	93.0911	163.827	0.000774376
Trial    51	+ 0:10:24.6	Cam8_TL	+ 0:07:48.5	6/13/2013	0	4.33073	245.574	0.33366	0.00925123
Trial    52	+ 0:10:24.6	Cam8_TR	+ 0:07:48.5	6/13/2013	0	3.56824	128.793	1.6683	0.0076224
Trial    57	+ 0:09:04.5	T1_Cam9_BL	+ 0:06:48.4	6/13/2013	0	3.02719	221.217	1.33464	0.00741837
Trial    58	+ 0:09:04.5	T1_Cam9_BR	+ 0:06:48.4	6/13/2013	0	6.33897	294.288	5.33856	0.0155596
Trial    59	+ 0:09:04.5	T1_Cam9_TL	+ 0:06:48.4	6/13/2013	0	0.538207	181.177	1.6683	0.00131892
Trial    60	+ 0:09:04.5	T1_Cam9_TR	+ 0:06:48.4	6/13/2013	0	3.63954	145.809	6.00588	0.00891899
Trial    61	+ 0:09:04.5	Cam9_BL	+ 0:06:48.4	6/13/2013	0	1.22517	72.0706	1.6683	0.00300237
Trial    62	+ 0:09:04.5	Cam9_BR	+ 0:06:48.4	6/13/2013	0	0	-	-	0
Trial    63	+ 0:09:04.5	Cam9_TL	+ 0:06:48.4	6/13/2013	0	1.2871	183.847	3.00294	0.00315415
Trial    64	+ 0:09:04.5	Cam9_TR	+ 0:06:48.4	6/13/2013	0	0	-	-	0
