	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	C1.BL	+ 0:07:48.5	6/24/2013	0	0.700174	97.4287	4.67124	0.0014957
Trial     2	+ 0:10:24.6	C1.BR	+ 0:07:48.5	6/24/2013	0	0.172299	123.121	2.33562	0.000368062
Trial     3	+ 0:10:24.6	C1.TL	+ 0:07:48.5	6/24/2013	0	4.30088	216.879	9.67614	0.00918746
Trial     4	+ 0:10:24.6	C1.TR	+ 0:07:48.5	6/24/2013	0	5.054	318.645	1.6683	0.0107963
Trial     5	+ 0:10:24.6	C2.BL	+ 0:07:48.5	6/24/2013	0	0.823898	89.7545	0.66732	0.00175999
Trial     6	+ 0:10:24.6	C2.BR	+ 0:07:48.5	6/24/2013	0	9.85435	327.32	0.66732	0.0210507
Trial     7	+ 0:10:24.6	C2.TL	+ 0:07:48.5	6/24/2013	0	1.43685	184.18	3.67026	0.00306938
Trial     8	+ 0:10:24.6	C2.TR	+ 0:07:48.5	6/24/2013	0	1.19663	162.492	3.00294	0.00255621
Trial     9	+ 0:10:24.6	C3.BL	+ 0:07:48.5	6/24/2013	0	2.37715	171.501	6.00588	0.00507803
Trial    10	+ 0:10:24.6	C3.BR	+ 0:07:48.5	6/24/2013	0	5.25946	244.906	1.33464	0.0112352
Trial    11	+ 0:10:24.6	C3.TL	+ 0:07:48.5	6/24/2013	0	0.596305	85.0833	28.3611	0.00127382
Trial    12	+ 0:10:24.6	C3.TR	+ 0:07:48.5	6/24/2013	0	3.08421	225.22	3.00294	0.00658843
Trial    13	+ 0:10:24.6	C4.BL	+ 0:07:48.5	6/24/2013	0	4.67858	250.579	6.6732	0.00999429
Trial    14	+ 0:10:24.6	C4.BR	+ 0:07:48.5	6/24/2013	0	3.00639	214.877	1.6683	0.00642221
Trial    15	+ 0:10:24.6	C4.TL	+ 0:07:48.5	6/24/2013	0	3.01391	207.87	3.67026	0.00643826
Trial    16	+ 0:10:24.6	C4.TR	+ 0:07:48.5	6/24/2013	0	2.71426	187.183	1.33464	0.00579815
Trial    17	+ 0:10:24.6	C5.BL	+ 0:07:48.5	6/24/2013	0	1.95641	94.7594	2.00196	0.00417924
Trial    18	+ 0:10:24.6	C5.BR	+ 0:07:48.5	6/24/2013	0	6.15995	290.952	3.3366	0.0131588
Trial    19	+ 0:10:24.6	C5.TL	+ 0:07:48.5	6/24/2013	0	0.676475	117.782	6.6732	0.00144507
Trial    20	+ 0:10:24.6	C5.TR	+ 0:07:48.5	6/24/2013	0	1.85363	218.881	1.33464	0.0039597
Trial    21	+ 0:10:24.6	C6.BL	+ 0:07:48.5	6/24/2013	0	0.990565	174.838	5.0049	0.00211603
Trial    22	+ 0:10:24.6	C6.BR	+ 0:07:48.5	6/24/2013	0	8.00338	273.268	3.3366	0.0171701
Trial    23	+ 0:10:24.6	C6.TL	+ 0:07:48.5	6/24/2013	0	3.45521	230.225	0.33366	0.00738096
Trial    24	+ 0:10:24.6	C6.TR	+ 0:07:48.5	6/24/2013	0	3.51648	211.874	4.67124	0.00751184
Trial    25	+ 0:10:24.6	C7.BL	+ 0:07:48.5	6/24/2013	0	3.7483	155.819	56.3885	0.00800705
Trial    26	+ 0:10:24.6	C7.BR	+ 0:07:48.5	6/24/2013	0	2.26386	172.502	5.0049	0.00483601
Trial    27	+ 0:10:24.6	C7.TL	+ 0:07:48.5	6/24/2013	0	1.75661	213.542	5.0049	0.00375243
Trial    28	+ 0:10:24.6	C7.TR	+ 0:07:48.5	6/24/2013	0	1.20415	210.873	3.67026	0.00257228
Trial    29	+ 0:10:24.6	C8.BL	+ 0:07:48.5	6/24/2013	0	9.33468	350.009	0.33366	0.0199406
Trial    30	+ 0:10:24.6	C8.BR	+ 0:07:48.5	6/24/2013	0	3.48011	211.54	4.00392	0.00743415
Trial    31	+ 0:10:24.6	C8.TL	+ 0:07:48.5	6/24/2013	0	0.465563	94.0921	41.3738	0.00107747
Trial    32	+ 0:10:24.6	C8.TR	+ 0:07:48.5	6/24/2013	0	0.0799995	98.096	4.67124	0.000170893
Trial    33	+ 0:09:04.5	C9.BL	+ 0:06:48.4	6/24/2013	0	4.87227	292.286	2.33562	0.0119399
Trial    34	+ 0:09:04.5	C9.BR	+ 0:06:48.4	6/24/2013	0	1.90222	106.771	0.33366	0.00466155
Trial    35	+ 0:09:04.5	C9.TL	+ 0:06:48.4	6/24/2013	0	1.3886	79.0774	0.66732	0.00340289
Trial    36	+ 0:09:04.5	C9.TR	+ 0:06:48.4	6/24/2013	0	0.776208	41.3738	98.096	0.00190216
Trial    37	+ 0:10:24.6	T2.C1.BR	+ 0:07:48.5	6/24/2013	0	2.02205	154.485	0.33366	0.00431948
Trial    38	+ 0:10:24.6	T2.C1.TR	+ 0:07:48.5	6/24/2013	0	3.91216	246.241	0.66732	0.00835709
Trial    41	+ 0:10:24.6	T2.C2.BL	+ 0:07:48.5	6/24/2013	0	11.8479	378.704	0.33366	0.0253093
Trial    42	+ 0:10:24.6	T2.C2.BR	+ 0:07:48.5	6/24/2013	0	5.55997	283.611	0.33366	0.0118771
Trial    43	+ 0:10:24.6	T2.C2.TL	+ 0:07:48.5	6/24/2013	0	1.97038	238.901	0.66732	0.00420909
Trial    44	+ 0:10:24.6	T2.C2.TR	+ 0:07:48.5	6/24/2013	0	5.76385	264.592	0.66732	0.0123126
Trial    45	+ 0:10:24.6	T2.C3.BL	+ 0:07:48.5	6/24/2013	0	4.7526	245.574	2.33562	0.0101524
Trial    46	+ 0:10:24.6	T2.C3.BR	+ 0:07:48.5	6/24/2013	0	1.19793	135.8	2.00196	0.002559
Trial    47	+ 0:10:24.6	T2.C3.TL	+ 0:07:48.5	6/24/2013	0	7.69034	323.984	1.00098	0.016428
Trial    48	+ 0:10:24.6	T2.C3.TR	+ 0:07:48.5	6/24/2013	0	6.0633	325.986	0.66732	0.0129523
Trial    53	+ 0:10:24.0	T2.C5.TL	+ 0:07:48.0	6/24/2013	0	8.05466	98.7967	0.467124	0.0172111
Trial    54	+ 0:10:24.0	T2.C5.TR	+ 0:07:48.0	6/24/2013	0	5.69388	88.3865	0.767418	0.0121666
Trial    55	+ 0:10:24.0	T2.C5.BR	+ 0:07:48.0	6/24/2013	0	1.56974	40.6064	1.4681	0.0033542
Trial    57	+ 0:10:24.6	T2.C6.TL	+ 0:07:48.5	6/24/2013	0	4.24638	236.899	4.33758	0.00907104
Trial    58	+ 0:10:24.6	T2.C6.TR	+ 0:07:48.5	6/24/2013	0	5.52196	211.874	7.34052	0.0117959
Trial    59	+ 0:10:24.6	T2.C6.BR	+ 0:07:48.5	6/24/2013	0	4.9703	240.235	3.67026	0.0106175
Trial    61	+ 0:10:24.6	T2.C7.TL	+ 0:07:48.5	6/24/2013	0	6.85382	270.932	2.00196	0.014641
Trial    62	+ 0:10:24.6	T2.C7.TR	+ 0:07:48.5	6/24/2013	0	9.67783	342.669	0.66732	0.0206736
Trial    63	+ 0:10:24.6	T2.C7.BR	+ 0:07:48.5	6/24/2013	0	3.9705	225.554	3.00294	0.00848172
