	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	Cam1_TL	+ 0:07:48.5	6/22/2013	0	0.430599	95.4268	7.34052	0.000919838
Trial     2	+ 0:10:24.6	Cam1_TR	+ 0:07:48.5	6/22/2013	0	4.02252	233.228	0.66732	0.00859284
Trial     3	+ 0:10:24.6	Cam1_BR	+ 0:07:48.5	6/22/2013	0	5.16186	277.605	2.33562	0.0110267
Trial     4	+ 0:10:24.6	Cam1_BL	+ 0:07:48.5	6/22/2013	0	3.25395	192.855	1.33464	0.00695103
Trial     5	+ 0:10:24.6	Cam2_TL	+ 0:07:48.5	6/22/2013	0	5.17244	195.525	0.33366	0.0110493
Trial     6	+ 0:10:24.6	Cam2_TR	+ 0:07:48.5	6/22/2013	0	12.6229	356.683	1.33464	0.0269647
Trial     7	+ 0:10:24.6	Cam2_BR	+ 0:07:48.5	6/22/2013	0	0.488054	76.0745	18.3513	0.00104257
Trial     8	+ 0:10:24.6	Cam2_BL	+ 0:07:48.5	6/22/2013	0	0.764384	156.82	7.67418	0.00163286
Trial     9	+ 0:10:24.6	Cam3_TL	+ 0:07:48.5	6/22/2013	0	1.08939	163.827	4.33758	0.00232714
Trial    10	+ 0:10:24.6	Cam3_TR	+ 0:07:48.5	6/22/2013	0	0.901059	148.145	1.00098	0.00192483
Trial    11	+ 0:10:24.6	Cam3_BR	+ 0:07:48.5	6/22/2013	0	4.15465	247.909	0.66732	0.00887508
Trial    12	+ 0:10:24.6	Cam3_BL	+ 0:07:48.5	6/22/2013	0	7.54627	341.001	1.6683	0.0161202
Trial    13	+ 0:10:24.6	Cam4_TL	+ 0:07:48.5	6/22/2013	0	0	-	-	0
Trial    14	+ 0:10:24.6	Cam4_TR	+ 0:07:48.5	6/22/2013	0	4.5883	235.564	1.00098	0.00980144
Trial    15	+ 0:10:24.6	Cam4_BR	+ 0:07:48.5	6/22/2013	0	3.07677	195.525	188.184	0.00657255
Trial    16	+ 0:10:24.6	Cam4_BL	+ 0:07:48.5	6/22/2013	0	0.232654	112.777	2.33562	0.000496991
Trial    17	+ 0:10:24.6	Cam5_TL	+ 0:07:48.5	6/22/2013	0	1.88935	189.185	4.00392	0.00403599
Trial    18	+ 0:10:24.6	Cam5_TR	+ 0:07:48.5	6/22/2013	0	0	-	-	0
Trial    19	+ 0:10:24.6	Cam5_BR	+ 0:07:48.5	6/22/2013	0	0.945858	101.766	44.0431	0.00202052
Trial    20	+ 0:10:24.6	Cam5_BL	+ 0:07:48.5	6/22/2013	0	0.773201	178.508	1.6683	0.0016517
Trial    21	+ 0:10:24.6	Cam6_TL	+ 0:07:48.5	6/22/2013	0	0.0100072	1.00098	358.351	2.14E-05
Trial    22	+ 0:10:24.6	Cam6_TR	+ 0:07:48.5	6/22/2013	0	1.92321	153.484	9.67614	0.00410833
Trial    23	+ 0:10:24.6	Cam6_BR	+ 0:07:48.5	6/22/2013	0	0	-	-	0
Trial    24	+ 0:10:24.6	Cam6_BL	+ 0:07:48.5	6/22/2013	0	4.7059	322.983	2.33562	0.0100527
Trial    25	+ 0:10:24.6	Cam7_TL	+ 0:07:48.5	6/22/2013	0	2.64546	192.188	0.33366	0.00565925
Trial    26	+ 0:10:24.6	Cam7_TR	+ 0:07:48.5	6/22/2013	0	3.33597	178.842	8.67516	0.00712624
Trial    27	+ 0:10:24.6	Cam7_BR	+ 0:07:48.5	6/22/2013	0	0.331023	86.0843	4.67124	0.000707126
Trial    28	+ 0:10:24.6	Cam7_BL	+ 0:07:48.5	6/22/2013	0	9.18745	361.02	1.33464	0.0196261
Trial    29	+ 0:10:24.6	Cam8_TL	+ 0:07:48.5	6/22/2013	0	0.808179	92.0902	17.3503	0.00172642
Trial    30	+ 0:10:24.6	Cam8_TR	+ 0:07:48.5	6/22/2013	0	1.10236	168.832	3.67026	0.00235484
Trial    31	+ 0:10:24.6	Cam8_BR	+ 0:07:48.5	6/22/2013	0	3.95391	254.583	3.67026	0.00844627
Trial    32	+ 0:10:24.6	Cam8_BL	+ 0:07:48.5	6/22/2013	0	1.88606	147.811	4.67124	0.00402896
Trial    33	+ 0:09:04.5	Cam9_TL	+ 0:06:48.4	6/22/2013	0	0.0100064	1.00098	359.018	2.45E-05
Trial    34	+ 0:09:04.5	Cam9_TR	+ 0:06:48.4	6/22/2013	0	0	-	-	0
Trial    35	+ 0:09:04.5	Cam9_BR	+ 0:06:48.4	6/22/2013	0	0	-	-	0
Trial    36	+ 0:09:04.5	Cam9_BL	+ 0:06:48.4	6/22/2013	0	0.944887	153.484	1.6683	0.00231552
