	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	T1_Cam1_TL	+ 0:07:48.5	5/31/2013	0	0.901249	131.796	7.34052	0.00192523
Trial     2	+ 0:10:24.6	T1_Cam1_TR	+ 0:07:48.5	5/31/2013	0	3.87124	258.253	5.0049	0.00826967
Trial     3	+ 0:10:24.6	T1_Cam1_BR	+ 0:07:48.5	5/31/2013	0	1.01549	181.511	3.3366	0.00216927
Trial     4	+ 0:10:24.6	T1_Cam1_BL	+ 0:07:48.5	5/31/2013	0	1.77081	161.158	2.00196	0.00378277
Trial     5	+ 0:10:24.6	T1_Cam2_TL	+ 0:07:48.5	5/31/2013	0	1.02981	263.591	3.00294	0.00219985
Trial     6	+ 0:10:24.6	T1_Cam2_TR	+ 0:07:48.5	5/31/2013	0	0.77918	205.535	4.67124	0.00166447
Trial     7	+ 0:10:24.6	T1_Cam2_BR	+ 0:07:48.5	5/31/2013	0	0.637695	241.57	5.67222	0.00136223
Trial     8	+ 0:10:24.6	T1_Cam2_BL	+ 0:07:48.5	5/31/2013	0	2.22963	182.178	3.3366	0.0047629
Trial     9	+ 0:10:24.6	T1_Cam3_TL	+ 0:07:48.5	5/31/2013	0	0.778297	116.114	1.33464	0.00166258
Trial    10	+ 0:10:24.6	T1_Cam3_TR	+ 0:07:48.5	5/31/2013	0	0.0590226	80.4121	9.00882	0.000126083
Trial    11	+ 0:10:24.6	T1_Cam3_BR	+ 0:07:48.5	5/31/2013	0	1.83959	167.164	3.3366	0.00392969
Trial    12	+ 0:10:24.6	T1_Cam3_BL	+ 0:07:48.5	5/31/2013	0	0.300437	182.846	2.66928	0.000641787
Trial    13	+ 0:10:24.6	T1_Cam4_TL	+ 0:07:48.5	5/31/2013	0	0.417252	133.464	5.0049	0.000891325
Trial    14	+ 0:10:24.6	T1_Cam4_TR	+ 0:07:48.5	5/31/2013	0	2.66959	161.825	5.67222	0.00570273
Trial    15	+ 0:10:24.6	T1_Cam4_BR	+ 0:07:48.5	5/31/2013	0	0.180309	42.0412	1.33464	0.000385173
Trial    16	+ 0:10:24.6	T1_Cam4_BL	+ 0:07:48.5	5/31/2013	0	0	-	-	0
Trial    18	+ 0:10:24.6	T1_Cam5_TR	+ 0:07:48.5	5/31/2013	0	0.737706	122.453	4.67124	0.00157587
Trial    21	+ 0:10:24.0	T1_Cam6_TL	+ 0:07:48.0	5/31/2013	0	0	-	-	0
Trial    22	+ 0:10:24.0	T1_Cam6_TR	+ 0:07:48.0	5/31/2013	0	1.11861	43.3758	1.7684	0.00239023
Trial    25	+ 0:10:24.6	T1_Cam7_TL	+ 0:07:48.5	5/31/2013	0	0.63595	114.779	0.66732	0.0013585
Trial    26	+ 0:10:24.6	T1_Cam7_TR	+ 0:07:48.5	5/31/2013	0	0.0431207	15.0147	29.6957	9.21E-05
Trial    27	+ 0:10:24.6	T1_Cam7_BR	+ 0:07:48.5	5/31/2013	0	2.64657	250.912	2.33562	0.00565356
Trial    28	+ 0:10:24.6	T1_Cam7_BL	+ 0:07:48.5	5/31/2013	0	0.617682	114.779	6.33954	0.00131948
Trial    30	+ 0:10:24.6	T1_Cam8_TR	+ 0:07:48.5	5/31/2013	0	2.55741	164.494	5.0049	0.00546309
Trial    31	+ 0:10:24.6	T1_Cam8_BR	+ 0:07:48.5	5/31/2013	0	0.35119	149.48	9.34248	0.000750205
Trial    32	+ 0:10:24.6	T1_Cam8_BL	+ 0:07:48.5	5/31/2013	0	0.596794	120.118	2.33562	0.00127486
Trial    33	+ 0:10:24.6	T1_Cam5_TL	+ 0:07:48.5	5/31/2013	0	0	-	-	0
Trial    34	+ 0:10:24.6	T1_Cam5_BR	+ 0:07:48.5	5/31/2013	0	0	-	-	0
Trial    35	+ 0:10:24.6	T1_Cam5_BL	+ 0:07:48.5	5/31/2013	0	0	-	-	0
Trial    36	+ 0:10:24.6	T1_Cam6_BR	+ 0:07:48.5	5/31/2013	0	1.00589	91.0892	10.6771	0.00214875
Trial    37	+ 0:10:24.6	T1_Cam6_BL	+ 0:07:48.5	5/31/2013	0	0.0544158	10.0098	319.98	0.000116242
Trial    38	+ 0:10:24.6	T1_Cam8_TL	+ 0:07:48.5	5/31/2013	0	1.05046	82.414	1.33464	0.00224398
