	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	Cam1_TL	+ 0:07:48.5	6/18/2013	0	6.57679	276.938	1.33464	0.0140492
Trial     2	+ 0:10:24.6	Cam1_BR	+ 0:07:48.5	6/18/2013	0	7.07143	309.636	0.66732	0.0151059
Trial     3	+ 0:10:24.6	Cam1_BL	+ 0:07:48.5	6/18/2013	0	8.51232	276.938	0.33366	0.0181839
Trial     4	+ 0:10:24.6	Cam1_TR	+ 0:07:48.5	6/18/2013	0	2.18591	122.12	8.67516	0.0046695
Trial     5	+ 0:10:24.6	Cam2_TL	+ 0:07:48.5	6/18/2013	0	7.77562	311.638	0.33366	0.0166101
Trial     6	+ 0:10:24.6	Cam2_TR	+ 0:07:48.5	6/18/2013	0	9.47123	319.313	0.66732	0.0202323
Trial     7	+ 0:10:24.6	Cam2_BR	+ 0:07:48.5	6/18/2013	0	0.391786	106.104	70.4023	0.000836926
Trial     8	+ 0:10:24.6	Cam2_BL	+ 0:07:48.5	6/18/2013	0	0	-	-	0
Trial     9	+ 0:10:24.6	Cam3_TL	+ 0:07:48.5	6/18/2013	0	9.67822	335.328	4.33758	0.0206744
Trial    10	+ 0:10:24.6	Cam3_TR	+ 0:07:48.5	6/18/2013	0	4.48659	275.269	6.00588	0.00958416
Trial    11	+ 0:10:24.6	Cam3_BR	+ 0:07:48.5	6/18/2013	0	0.860396	112.443	1.33464	0.00183796
Trial    12	+ 0:10:24.6	Cam3_BL	+ 0:07:48.5	6/18/2013	0	0.266489	78.4101	8.3415	0.000569268
Trial    13	+ 0:10:24.6	Cam4_TL	+ 0:07:48.5	6/18/2013	0	0.133567	85.7506	6.6732	0.000285324
Trial    14	+ 0:10:24.6	Cam4_TR	+ 0:07:48.5	6/18/2013	0	6.76428	289.951	6.6732	0.0144497
Trial    15	+ 0:10:24.6	CAm4_BR	+ 0:07:48.5	6/18/2013	0	2.09246	264.259	5.67222	0.00446987
Trial    16	+ 0:10:24.6	Cam4_BL	+ 0:07:48.5	6/18/2013	0	2.83694	241.57	7.00686	0.00606022
Trial    17	+ 0:10:24.6	Cam5_TL	+ 0:07:48.5	6/18/2013	0	2.30677	167.164	0.33366	0.00492767
Trial    18	+ 0:10:24.6	Cam5_TR	+ 0:07:48.5	6/18/2013	0	0.033235	4.00392	442.099	7.10E-05
Trial    19	+ 0:10:24.6	Cam5_BL	+ 0:07:48.5	6/18/2013	0	8.8933	356.015	0.33366	0.0189977
Trial    20	+ 0:10:24.6	Cam5_BR	+ 0:07:48.5	6/18/2013	0	2.98258	164.828	0.33366	0.00637134
Trial    21	+ 0:10:24.6	Cam6_TL	+ 0:07:48.5	6/18/2013	0	2.29197	243.238	0.33366	0.00489607
Trial    22	+ 0:10:24.6	Cam6_TR	+ 0:07:48.5	6/18/2013	0	8.26983	322.649	3.3366	0.0176659
Trial    23	+ 0:10:24.6	Cam6_BR	+ 0:07:48.5	6/18/2013	0	0.0581473	21.0206	3.67026	0.000124213
Trial    24	+ 0:10:24.6	Cam6_BL	+ 0:07:48.5	6/18/2013	0	4.79032	261.923	3.67026	0.010233
Trial    25	+ 0:10:24.6	Cam7_TL	+ 0:07:48.5	6/18/2013	0	1.03842	173.17	3.00294	0.00221826
Trial    26	+ 0:10:24.6	Cam7_TR	+ 0:07:48.5	6/18/2013	0	1.55762	174.171	3.00294	0.00332737
Trial    27	+ 0:10:24.6	Cam7_BR	+ 0:07:48.5	6/18/2013	0	3.85798	267.929	1.6683	0.00824134
Trial    28	+ 0:10:24.6	Cam7_BL	+ 0:07:48.5	6/18/2013	0	0	-	-	0
Trial    29	+ 0:10:24.6	Cam8_TL	+ 0:07:48.5	6/18/2013	0	2.04633	213.876	0.66732	0.00437134
Trial    30	+ 0:10:24.6	Cam8_TR	+ 0:07:48.5	6/18/2013	0	4.45422	200.196	1.6683	0.00951503
Trial    31	+ 0:10:24.6	Cam8_BR	+ 0:07:48.5	6/18/2013	0	5.98446	301.962	2.66928	0.0127839
Trial    32	+ 0:10:24.6	Cam8_BL	+ 0:07:48.5	6/18/2013	0	0.965054	176.506	3.00294	0.00206153
Trial    37	+ 0:09:04.5	Cam9_TL	+ 0:06:48.4	6/18/2013	0	5.03728	218.547	0.33366	0.0123443
Trial    38	+ 0:09:04.5	Cam9_TR	+ 0:06:48.4	6/18/2013	0	3.5399	207.203	6.33954	0.00867481
Trial    39	+ 0:09:04.5	Cam9_BR	+ 0:06:48.4	6/18/2013	0	0.49585	137.134	7.34052	0.00121512
Trial    40	+ 0:09:04.5	Cam9_BL	+ 0:06:48.4	6/18/2013	0	7.99612	313.974	2.66928	0.0195952
