	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	Cam1_BL	+ 0:07:48.5	6/12/2013	0	0.335368	116.447	1.00098	0.000716408
Trial     2	+ 0:10:24.6	Cam1_BR	+ 0:07:48.5	6/12/2013	0	0.008349	1.00098	300.294	1.78E-05
Trial     3	+ 0:10:24.6	Cam1_TL	+ 0:07:48.5	6/12/2013	0	0.14102	100.098	4.00392	0.000301244
Trial     4	+ 0:10:24.6	Cam1_TR	+ 0:07:48.5	6/12/2013	210	3.1143	200.196	54.3866	0.00752115
Trial     5	+ 0:10:24.6	Cam2_BL	+ 0:07:48.5	6/12/2013	0	3.44192	252.247	12.0118	0.00754067
Trial     6	+ 0:10:24.6	Cam2_BR	+ 0:07:48.5	6/12/2013	0	0.0524153	72.0706	7.00686	0.000111969
Trial     7	+ 0:10:24.6	Cam2_TL	+ 0:07:48.5	6/12/2013	0	0.305112	83.7487	9.00882	0.000651775
Trial     8	+ 0:10:24.6	Cam2_TR	+ 0:07:48.5	6/12/2013	0	0.268727	77.0755	5.33856	0.000574049
Trial     9	+ 0:10:24.6	Cam3_BL	+ 0:07:48.5	6/12/2013	0	0.526883	195.525	7.67418	0.00112552
Trial    10	+ 0:10:24.6	Cam3_BR	+ 0:07:48.5	6/12/2013	0	0.999737	221.217	1.33464	0.00213562
Trial    11	+ 0:10:24.6	Cam3_TL	+ 0:07:48.5	6/12/2013	0	0	-	-	0
Trial    12	+ 0:10:24.6	Cam3_TR	+ 0:07:48.5	6/12/2013	0	1.31832	174.504	9.00882	0.00281618
Trial    13	+ 0:10:24.6	Cam4_BL	+ 0:07:48.5	6/12/2013	0	1.00756	219.548	1.00098	0.00215234
Trial    14	+ 0:10:24.6	Cam4_BR	+ 0:07:48.5	6/12/2013	0	0.801295	119.117	4.33758	0.00171171
