	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	Cam1_BL	+ 0:07:48.5	7/12/2013	0	0.0909925	11.0108	294.288	0.000194377
Trial     2	+ 0:10:24.6	Cam1_BR	+ 0:07:48.5	7/12/2013	0	4.14063	244.239	1.00098	0.00884514
Trial     3	+ 0:10:24.6	Cam1_TL	+ 0:07:48.5	7/12/2013	0	5.21934	242.237	3.67026	0.0111495
Trial     4	+ 0:10:24.6	Cam1_TR	+ 0:07:48.5	7/12/2013	0	0	-	-	0
Trial     5	+ 0:10:24.6	Cam2_BL	+ 0:07:48.5	7/12/2013	0	0.613198	110.775	12.6791	0.0013099
Trial     6	+ 0:10:24.6	Cam2_BR	+ 0:07:48.5	7/12/2013	0	0.0350335	53.7193	44.0431	7.48E-05
Trial     7	+ 0:10:24.6	Cam2_TL	+ 0:07:48.5	7/12/2013	0	6.70256	241.236	5.33856	0.0143179
Trial     8	+ 0:10:24.6	Cam2_TR	+ 0:07:48.5	7/12/2013	0	6.35941	285.279	3.00294	0.0135848
Trial     9	+ 0:10:24.6	Cam3_BL	+ 0:07:48.5	7/12/2013	0	0.0991169	84.0823	7.67418	0.000211732
Trial    10	+ 0:10:24.6	Cam3_BR	+ 0:07:48.5	7/12/2013	0	3.24689	251.246	4.00392	0.00693594
Trial    11	+ 0:10:24.6	Cam3_TL	+ 0:07:48.5	7/12/2013	54	4.84115	259.587	2.66928	0.0116634
Trial    12	+ 0:10:24.6	Cam3_TR	+ 0:07:48.5	7/12/2013	0	0.319022	103.435	2.66928	0.000681488
Trial    13	+ 0:10:24.6	Cam4_BL	+ 0:07:48.5	7/12/2013	0	2.52733	185.515	2.00196	0.00539884
Trial    14	+ 0:10:24.6	Cam4_BR	+ 0:07:48.5	7/12/2013	0	0.0574396	77.0755	5.67222	0.000122701
Trial    15	+ 0:10:24.6	Cam4_TL	+ 0:07:48.5	7/12/2013	0	5.03236	220.216	0.66732	0.01075
Trial    16	+ 0:10:24.6	Cam4_TR	+ 0:07:48.5	7/12/2013	0	1.30501	99.097	2.66928	0.00278774
Trial    17	+ 0:10:24.6	Cam5_BL	+ 0:07:48.5	7/12/2013	0	3.61173	230.893	35.368	0.00771532
Trial    18	+ 0:10:24.6	Cam5_BR	+ 0:07:48.5	7/12/2013	0	1.15371	132.797	2.33562	0.00246453
Trial    19	+ 0:10:24.6	Cam5_TL	+ 0:07:48.5	7/12/2013	0	5.00933	283.277	0.33366	0.0107008
Trial    20	+ 0:10:24.6	Cam5_TR	+ 0:07:48.5	7/12/2013	0	0.242146	101.099	5.33856	0.000517268
Trial    21	+ 0:10:24.6	Cam6_BL	+ 0:07:48.5	7/12/2013	0	0.320527	164.828	1.00098	0.000684704
Trial    22	+ 0:10:24.6	Cam6_BR	+ 0:07:48.5	7/12/2013	0	0.589133	125.123	4.00392	0.0012585
Trial    23	+ 0:10:24.6	Cam6_TL	+ 0:07:48.5	7/12/2013	0	0.885791	190.186	6.00588	0.00189221
Trial    24	+ 0:10:24.6	Cam6_TR	+ 0:07:48.5	7/12/2013	0	0.606364	124.122	18.3513	0.0012953
Trial    25	+ 0:10:24.6	Cam8_BL	+ 0:07:48.5	7/12/2013	0	8.1076	323.65	3.00294	0.0173193
Trial    26	+ 0:10:24.6	Cam8_TL	+ 0:07:48.5	7/12/2013	0	6.49482	322.316	0.66732	0.0138741
Trial    27	+ 0:10:24.6	Cam8_TR	+ 0:07:48.5	7/12/2013	0	0.106365	51.7173	203.533	0.000227215
Trial    32	+ 0:10:24.6	T2_Cam1_BL	+ 0:07:48.5	7/12/2013	0	0.99412	151.815	77.7428	0.00212362
Trial    33	+ 0:10:24.6	T2_Cam1_BR	+ 0:07:48.5	7/12/2013	0	0	-	-	0
Trial    34	+ 0:10:24.6	T2_Cam1_TL	+ 0:07:48.5	7/12/2013	0	0.714355	78.0764	8.3415	0.00152599
Trial    35	+ 0:10:24.6	T2_Cam1_TR	+ 0:07:48.5	7/12/2013	0	0.659021	111.109	74.0725	0.00140779
Trial    36	+ 0:10:24.6	T2_Cam2_BL	+ 0:07:48.5	7/12/2013	0	1.27844	71.7369	297.625	0.00273097
Trial    37	+ 0:10:24.6	T2_Cam2_BR	+ 0:07:48.5	7/12/2013	0	5.85319	221.884	108.106	0.0125035
Trial    38	+ 0:10:24.6	T2_Cam2_TL	+ 0:07:48.5	7/12/2013	0	0	-	-	0
Trial    39	+ 0:10:24.6	T2_Cam2_TR	+ 0:07:48.5	7/12/2013	0	3.49836	191.187	10.6771	0.00747313
