	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:03:50.2	C1.BL	+ 0:02:52.7	6/30/2013	0	1.1427	59.892	2.50245	0.00662426
Trial     2	+ 0:03:50.2	C1.BR	+ 0:02:52.7	6/30/2013	0	1.38572	74.2393	1.16781	0.00803304
Trial     3	+ 0:03:50.2	C1.TL	+ 0:02:52.7	6/30/2013	0	0.341792	30.5299	3.16977	0.00198138
Trial     4	+ 0:03:50.2	C1.TR	+ 0:02:52.7	6/30/2013	0	1.78002	60.0588	2.50245	0.0103188
Trial     5	+ 0:05:08.3	C2.BL	+ 0:03:51.2	6/30/2013	0	0.455105	60.893	1.00098	0.00196964
Trial     6	+ 0:05:08.3	C2.BR	+ 0:03:51.2	6/30/2013	0	0.204945	25.525	83.415	0.00088698
Trial     7	+ 0:05:08.3	C2.TL	+ 0:03:51.2	6/30/2013	0	5.36125	129.627	25.3582	0.0236817
Trial     8	+ 0:05:08.3	C2.TR	+ 0:03:51.2	6/30/2013	0	14.262	151.648	2.16879	0.0617242
Trial     9	+ 0:05:08.3	C3.BL	+ 0:03:51.2	6/30/2013	0	6.32916	116.781	28.6948	0.0276918
Trial    10	+ 0:05:08.3	C3.BR	+ 0:03:51.2	6/30/2013	0	2.71606	105.937	2.16879	0.0117548
Trial    11	+ 0:05:08.3	C3.TL	+ 0:03:51.2	6/30/2013	0	6.97496	154.485	1.33464	0.0301868
Trial    12	+ 0:05:08.3	C3.TR	+ 0:03:51.2	6/30/2013	0	3.03331	101.266	12.5123	0.0131468
Trial    13	+ 0:05:08.3	C4.BL	+ 0:03:51.2	6/30/2013	0	1.88475	74.7398	5.0049	0.008157
Trial    14	+ 0:05:08.3	C4.BR	+ 0:03:51.2	6/30/2013	0	0.685722	52.5514	2.83611	0.00296773
Trial    15	+ 0:05:08.3	C4.TL	+ 0:03:51.2	6/30/2013	0	1.50844	79.2442	0.66732	0.00652834
Trial    16	+ 0:05:08.3	C4.TR	+ 0:03:51.2	6/30/2013	0	3.19024	85.417	0.66732	0.013807
Trial    18	+ 0:03:50.2	C5.BR	+ 0:02:52.7	6/30/2013	0	5.31076	110.608	1.00098	0.0307866
Trial    19	+ 0:03:50.2	C5.TL	+ 0:02:52.7	6/30/2013	0	0.00879034	0.50049	167.831	5.10E-05
Trial    20	+ 0:03:50.2	C5.TR	+ 0:02:52.7	6/30/2013	0	3.16083	64.5632	1.00098	0.0183234
Trial    21	+ 0:05:08.3	C6.BL	+ 0:03:51.2	6/30/2013	0	2.25987	111.276	0.500489	0.00978047
Trial    22	+ 0:05:08.3	C6.BR	+ 0:03:51.2	6/30/2013	0	0.47863	22.5221	7.67418	0.00210335
Trial    23	+ 0:05:08.3	C6.TL	+ 0:03:51.2	6/30/2013	0	0.328227	44.5436	8.3415	0.00142053
Trial    24	+ 0:05:08.3	C6.TR	+ 0:03:51.2	6/30/2013	0	1.069	55.0539	5.33856	0.00462649
Trial    25	+ 0:05:08.3	C7.BL	+ 0:03:51.2	6/30/2013	0	3.21683	120.618	1.50147	0.0139221
Trial    26	+ 0:05:08.3	C7.BR	+ 0:03:51.2	6/30/2013	0	7.00416	144.975	3.50343	0.0303132
Trial    27	+ 0:05:08.3	C7.TL	+ 0:03:51.2	6/30/2013	0	1.14712	80.0784	1.16781	0.00496461
Trial    28	+ 0:05:08.3	C7.TR	+ 0:03:51.2	6/30/2013	0	3.33102	98.7634	1.83513	0.0144163
Trial    29	+ 0:05:08.3	C8.BL	+ 0:03:51.2	6/30/2013	0	0	-	-	0
Trial    30	+ 0:05:08.3	C8.BR	+ 0:03:51.2	6/30/2013	0	1.52656	79.2442	2.33562	0.00660678
Trial    31	+ 0:05:08.3	C8.TL	+ 0:03:51.2	6/30/2013	0	1.84255	98.2629	13.5132	0.00801487
Trial    32	+ 0:05:08.3	C8.TR	+ 0:03:51.2	6/30/2013	0	7.53074	178.675	0.33366	0.0325922
Trial    33	+ 0:03:50.2	C9.BL	+ 0:02:52.7	6/30/2013	0	1.16402	53.0519	1.16781	0.00674787
Trial    34	+ 0:03:50.2	C9.BR	+ 0:02:52.7	6/30/2013	0	3.57661	84.0823	0.33366	0.0207337
Trial    35	+ 0:03:50.2	C9.TL	+ 0:02:52.7	6/30/2013	0	0.17699	49.3817	1.50147	0.00102601
Trial    36	+ 0:03:50.2	C9.TR	+ 0:02:52.7	6/30/2013	0	0	-	-	0
