	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	Cam1_TR	+ 0:07:48.5	7/8/2013	0	0	-	-	0
Trial     2	+ 0:10:24.6	Cam1_BR	+ 0:07:48.5	7/8/2013	0	2.09269	193.189	1.33464	0.00447036
Trial     5	+ 0:10:24.6	Cam2_TL	+ 0:07:48.5	7/8/2013	0	0.14655	108.106	5.0049	0.000313056
Trial     6	+ 0:10:24.6	Cam2_TR	+ 0:07:48.5	7/8/2013	0	1.27192	131.462	6.33954	0.00271704
Trial     7	+ 0:10:24.6	Cam2_BR	+ 0:07:48.5	7/8/2013	0	1.08506	116.781	7.34052	0.00231789
Trial     8	+ 0:10:24.6	Cam2_BL	+ 0:07:48.5	7/8/2013	0	0.229612	115.113	3.67026	0.000490492
Trial     9	+ 0:10:24.6	Cam3_TL	+ 0:07:48.5	7/8/2013	0	5.08182	271.933	1.6683	0.0108557
Trial    10	+ 0:10:24.6	Cam3_TR	+ 0:07:48.5	7/8/2013	0	11.2001	331.658	3.3366	0.0239255
Trial    11	+ 0:10:24.6	Cam3_BR	+ 0:07:48.5	7/8/2013	0	0	-	-	0
Trial    12	+ 0:10:24.6	Cam3_BL	+ 0:07:48.5	7/8/2013	0	0.203523	94.4258	0.33366	0.000434762
Trial    13	+ 0:10:24.6	Cam4_TR	+ 0:07:48.5	7/8/2013	0	2.93309	250.912	6.00588	0.0062656
Trial    17	+ 0:10:24.6	Cam5_TL	+ 0:07:48.5	7/8/2013	0	0.230516	144.808	4.33758	0.000492425
Trial    18	+ 0:10:24.6	Cam5_TR	+ 0:07:48.5	7/8/2013	0	5.55128	261.256	3.67026	0.0118585
Trial    20	+ 0:10:24.6	Cam5_BL	+ 0:07:48.5	7/8/2013	0	3.82878	220.549	2.00196	0.00817897
Trial    21	+ 0:10:24.6	Cam6_TL	+ 0:07:48.5	7/8/2013	0	0.599376	85.0833	9.00882	0.00128038
Trial    22	+ 0:10:24.6	Cam6_BR	+ 0:07:48.5	7/8/2013	0	4.02722	242.571	0.33366	0.00860288
Trial    23	+ 0:10:24.6	Cam6_BL	+ 0:07:48.5	7/8/2013	0	6.45383	321.648	0.66732	0.0137865
Trial    25	+ 0:10:24.6	Cam7_BR	+ 0:07:48.5	7/8/2013	0	6.6069	279.273	3.00294	0.0141135
Trial    29	+ 0:10:24.6	Cam8_TL	+ 0:07:48.5	7/8/2013	0	0.0364933	63.0617	9.00882	7.80E-05
Trial    30	+ 0:10:24.6	Cam8_TR	+ 0:07:48.5	7/8/2013	0	0.0232664	24.0235	92.7575	4.97E-05
Trial    32	+ 0:10:24.6	Cam8_BL	+ 0:07:48.5	7/8/2013	0	0.286087	89.0872	11.3444	0.000611133
Trial    33	+ 0:09:04.5	Cam9_TL	+ 0:06:48.4	7/8/2013	0	7.00166	251.58	5.0049	0.0171581
Trial    34	+ 0:09:04.5	Cam9_TR	+ 0:06:48.4	7/8/2013	0	2.67328	209.872	8.3415	0.0065511
Trial    35	+ 0:09:04.5	Cam9_BR	+ 0:06:48.4	7/8/2013	0	0.279065	159.156	4.33758	0.000683873
Trial    36	+ 0:09:04.5	Cam9_BL	+ 0:06:48.4	7/8/2013	0	0.0723519	63.7291	4.33758	0.000177304
Trial    37	+ 0:10:24.6	Cam5_BR	+ 0:07:48.5	7/8/2013	0	1.83792	212.541	1.6683	0.00392612
Trial    38	+ 0:10:24.6	Cam8_BR	+ 0:07:48.5	7/8/2013	0	0	-	-	0
